Zipcode,State,Size (kW DC),Cost,Date Installed,Filters=state=NJ
08201,NJ,8.28,,01/11/2011,,
07030,NJ,3.74,34322.62827,05/11/2006,,
07070,NJ,3.06,29573.87112,10/11/2007,,
08012,NJ,3.06,,12/19/2014,,
08317,NJ,5.88,54925.60424,10/28/2005,,
07005,NJ,4.576,36371.71595,08/26/2008,,
08812,NJ,4,,07/08/2014,,
08861,NJ,5.805,,10/24/2011,,
08759,NJ,7.2,72718.7836,06/18/2007,,
08022,NJ,7,65146.02457,07/06/2006,,
08110,NJ,4.08,,12/26/2014,,
08807,NJ,9.25,,08/12/2014,,
08344,NJ,7.04,67322.37277,05/01/2007,,
07054,NJ,7.44,,10/23/2013,,
07666,NJ,3.06,27603.53509,11/02/2006,,
08302,NJ,11.985,,10/21/2014,,
08848,NJ,9.69,96199.40653,11/10/2006,,
07701,NJ,5.44,49139.73027,12/12/2006,,
08043,NJ,6.3,56235.0801,11/15/2006,,
07803,NJ,11.75,,12/11/2014,,
08234,NJ,14.025,,08/05/2014,,
08551,NJ,7.35,73482.46249,03/17/2005,,
08302,NJ,12.75,,06/18/2014,,
08757,NJ,6.54,,10/31/2013,,
07110,NJ,4.8,49892.87453,10/19/2006,,
08512,NJ,8,,07/25/2012,,
08822,NJ,9.8,106921.2563,04/11/2006,,
08902,NJ,1.47,,07/23/2014,,
07012,NJ,5.635,,09/09/2013,,
08090,NJ,9.945,,04/03/2014,,
07095,NJ,3.75,,10/24/2014,,
07753,NJ,3,31173.12,02/08/2005,,
08530,NJ,9.1,90912.4424,03/27/2008,,
08210,NJ,9.435,,12/30/2014,,
08054,NJ,9.5,95681.80962,07/28/2005,,
07110,NJ,6.4,62725.12252,09/21/2006,,
08846,NJ,5.145,,03/03/2014,,
07860,NJ,7.5,,12/24/2014,,
08904,NJ,3.38,,03/17/2014,,
08723,NJ,10.08,,04/10/2013,,
07950,NJ,7.02,71215.38579,07/01/2008,,
08724,NJ,6.885,,07/22/2014,,
08822,NJ,10.03,93886.26506,10/17/2005,,
08527,NJ,3.8,39536.48846,04/15/2009,,
08088,NJ,8.88,,08/10/2012,,
08077,NJ,4.9,46454.62829,12/21/2005,,
08215,NJ,15.925,,06/19/2014,,
08270,NJ,10.455,,08/25/2014,,
07456,NJ,10.098,92475.89312,09/22/2005,,
08009,NJ,5.805,,06/09/2011,,
07826,NJ,10,92632.50017,05/02/2008,,
08510,NJ,5.5,,02/24/2014,,
07074,NJ,3.92,,07/09/2014,,
08830,NJ,8.05,75046.12873,06/27/2006,,
,NJ,9.25,,01/14/2011,,
08005,NJ,2.82,28980.19587,04/16/2003,,
08005,NJ,4.576,35084.25629,03/27/2007,,
08844,NJ,6.93,60121.67422,10/06/2005,,
07936,NJ,9.856,83723.54982,07/21/2008,,
07512,NJ,8.88,75650.79111,05/13/2005,,
07005,NJ,9.8,94051.23369,07/28/2008,,
07726,NJ,9.8,89080.50991,06/18/2007,,
08534,NJ,6.9,,10/07/2010,,
08241,NJ,5.1,39937.57045,08/05/2008,,
08043,NJ,5.4,48761.49643,01/02/2009,,
08071,NJ,9.52,86535.35248,06/04/2007,,
08070,NJ,11.52,,01/04/2012,,
07016,NJ,3.15,,07/31/2012,,
07083,NJ,7.84,,08/28/2014,,
08820,NJ,4.24,,11/12/2014,,
08804,NJ,9.9,90320.96386,10/13/2005,,
08610,NJ,6.825,66217.225,05/24/2004,,
08724,NJ,9.9,92982.72974,04/30/2007,,
08203,NJ,2.38,20007.05691,11/12/2007,,
07016,NJ,5.88,,07/11/2013,,
08060,NJ,8.6,,05/11/2011,,
07072,NJ,2.943,,06/05/2014,,
07860,NJ,12.35,84625.24436,06/22/2006,,
07735,NJ,6.12,,09/18/2014,,
08205,NJ,12.74,,03/20/2014,,
08234,NJ,9.8,,02/06/2014,,
07083,NJ,6.615,,06/27/2013,,
07921,NJ,4.509,40671.59726,04/19/2006,,
08251,NJ,4.59,,09/09/2014,,
07740,NJ,8.085,,02/27/2013,,
08551,NJ,12,,11/05/2014,,
08060,NJ,8,,08/15/2012,,
08203,NJ,8.925,,04/22/2014,,
07746,NJ,9.46,88590.45016,07/13/2006,,
08512,NJ,15.75,151394.0166,12/02/2008,,
08560,NJ,7,63439.85929,03/17/2005,,
08087,NJ,6.84,64458.83415,12/27/2005,,
07847,NJ,5.4,50255.50467,07/21/2006,,
08873,NJ,3.675,,11/26/2013,,
08094,NJ,9.8,98445.09287,04/23/2007,,
08876,NJ,4.08,,01/30/2013,,
08759,NJ,16.5,,03/04/2014,,
08876,NJ,15.54,77097.98634,12/01/2005,,
08203,NJ,7.2,,04/29/2014,,
08540,NJ,8.4,82938.07644,12/27/2007,,
08859,NJ,8.33,,01/10/2014,,
08724,NJ,6.25,,01/24/2014,,
07731,NJ,8.6,82289.02411,03/30/2007,,
07031,NJ,5.76,,11/19/2013,,
08820,NJ,8.8,80126.03077,11/08/2006,,
08735,NJ,10,,05/12/2014,,
08501,NJ,9.8,95957.38362,11/10/2006,,
07083,NJ,3.29,,01/29/2014,,
08036,NJ,7,60483.16098,12/21/2005,,
08015,NJ,4.86,,12/21/2010,,
08501,NJ,10.5,,06/19/2012,,
08052,NJ,10,91631.16999,04/20/2007,,
08332,NJ,3.5,,07/10/2014,,
07730,NJ,8.84,79754.04878,12/09/2005,,
07070,NJ,2.295,,10/01/2014,,
07931,NJ,54.94,574778.3448,10/01/2008,,
08010,NJ,7.14,,09/09/2014,,
08502,NJ,7.59,67446.92453,12/07/2007,,
08225,NJ,11.75,,07/20/2012,,
08848,NJ,7.14,61454.47009,11/19/2007,,
08759,NJ,4.08,,12/30/2014,,
08054,NJ,9.69,,09/08/2014,,
07746,NJ,16,,12/24/2014,,
08330,NJ,7.395,,09/17/2014,,
08559,NJ,14.7,,06/29/2012,,
08690,NJ,7.8,,09/04/2014,,
07831,NJ,3.5,,12/04/2014,,
08557,NJ,9.9,96105.5704,04/27/2005,,
07722,NJ,12.48,100925.561,12/07/2005,,
08201,NJ,15.3,,10/14/2014,,
08701,NJ,5.75,,07/17/2014,,
07932,NJ,8.4,56440.68208,11/08/2006,,
07017,NJ,3.15,32273.96334,08/25/2005,,
07751,NJ,9.81,,04/01/2013,,
08036,NJ,5.6,50522.92683,12/01/2005,,
08037,NJ,10.12,91989.26125,06/04/2007,,
07731,NJ,8,,02/06/2014,,
08724,NJ,4.08,39104.57004,11/09/2005,,
08691,NJ,9.8,92344.48983,07/06/2006,,
08833,NJ,9.975,102669.4073,11/10/2006,,
08205,NJ,3.87,37454.51656,08/27/2007,,
07832,NJ,11.2,60545.4313,01/08/2009,,
07068,NJ,9.86,88582.9009,09/11/2006,,
08088,NJ,9.6,89607.31789,06/22/2006,,
07740,NJ,8.405,77497.46306,12/19/2007,,
08008,NJ,6.65,63648.54534,07/14/2005,,
08648,NJ,3.6,29705.19122,07/24/2006,,
07083,NJ,4.41,,04/25/2014,,
07675,NJ,4.75,,05/14/2014,,
08004,NJ,9.6,109105.9295,07/11/2007,,
