Zipcode,State,Size (kW DC),Cost,Date Installed,Filters=state=MN
55379,MN,4.995,34965.0,08/24/2010,,
56267,MN,7.56,62473.0,08/24/2010,,
55352,MN,8.28,58754.0,08/24/2010,,
56477,MN,2.07,14798.0,08/20/2010,,
56601,MN,3.44,28436.0,08/19/2010,,
55118,MN,3.01,26572.0,08/19/2010,,
55107,MN,4.05,29965.0,08/18/2010,,
55347,MN,5.55,41011.0,08/18/2010,,
55987,MN,5.17,34065.0,08/17/2010,,
55057,MN,5.52,39684.0,08/17/2010,,
55959,MN,5.06,29746.0,08/14/2010,,
55001,MN,8.6,72830.0,08/11/2010,,
55108,MN,5.4,42911.0,08/11/2010,,
55387,MN,5.04,29760.0,08/10/2010,,
55902,MN,3.45,22545.0,08/10/2010,,
55987,MN,5.06,36200.0,08/09/2010,,
55129,MN,5.52,31388.0,08/09/2010,,
56255,MN,3.68,36800.0,08/09/2010,,
55051,MN,4.4,67739.95,12/13/2007,,
55328,MN,1.98,23221.08652,09/23/2005,,
55047,MN,8.28,64288.23775,08/02/2010,,
55379,MN,4.14,61139.16054,08/24/2010,,
55444,MN,4.9,32538.69869,07/23/2010,,
55051,MN,7.68,140515.139,05/01/2010,,
55128,MN,1.344,11601.65049,07/05/2010,,
55802,MN,2.528,23209.78336,11/23/2004,,
55912,MN,1.6,16920.90686,09/19/2007,,
55042,MN,10.12,65912.39356,08/16/2011,,
55787,MN,2.6,23046.3407,10/01/2007,,
56283,MN,3.36,31309.15244,12/01/2009,,
56334,MN,4.14,41272.53458,06/01/2010,,
56001,MN,1,12613.69386,08/26/2009,,
55726,MN,2.05,21283.44717,07/02/2010,,
56283,MN,3.68,36614.88373,03/16/2010,,
55396,MN,4.14,44955.85269,07/09/2010,,
55110,MN,5.06,34024.72416,09/02/2010,,
55060,MN,5.28,32946.38045,09/30/2010,,
55107,MN,1.95,20087.99898,02/21/2008,,
55413,MN,10.22,92149.21009,10/25/2010,,
55408,MN,3.36,29076.06978,10/06/2009,,
55804,MN,2.8,29620.74159,12/01/2007,,
55417,MN,2.53,23983.06236,10/02/2010,,
55959,MN,5.06,36522.79675,09/01/2010,,
56316,MN,4.14,36710.83339,06/07/2010,,
55987,MN,8.46,56428.28224,07/29/2010,,
55719,MN,2,38074.25067,02/26/2009,,
55069,MN,2,19396.08738,08/15/2008,,
55731,MN,11.04,75328.2005,07/15/2010,,
55719,MN,9.84,93269.47449,02/20/2009,,
55406,MN,2.7,22727.047,06/02/2010,,
56087,MN,3.36,33168.53063,08/18/2009,,
55810,MN,1.44,12422.66232,06/30/2004,,
55057,MN,9.984,86480.17891,01/13/2009,,
55969,MN,5.06,38679.40755,07/20/2010,,
