Zipcode,State,Size (kW DC),Cost,Date Installed,Filters=state=NY
10901,NY,7.52,,09/10/2012,,
10901,NY,8.46,,08/30/2012,,
10701,NY,6.72,,10/02/2012,,
10607,NY,7.755,,07/17/2012,,
10573,NY,4.32,,09/27/2012,,
10567,NY,8.46,,07/17/2012,,
10566,NY,7.05,,09/10/2012,,
10562,NY,7.2,,09/19/2012,,
10536,NY,5.04,,08/20/2012,,
10512,NY,6.815,,08/28/2012,,
10512,NY,2.82,,08/16/2012,,
10509,NY,6.82,,07/26/2012,,
10502,NY,6.96,,07/31/2012,,
14478,NY,5.5,25800.0,12/21/2012,,
13478,NY,7.0,31300.0,12/18/2012,,
13323,NY,31.0,138400.0,12/13/2012,,
14883,NY,7.0,32620.0,12/03/2012,,
13658,NY,7.0,31900.0,11/21/2012,,
13041,NY,7.0,30809.0,11/12/2012,,
14456,NY,7.0,32550.0,10/15/2012,,
14701,NY,6.86,27440.0,11/23/2012,,
14710,NY,4.8,19200.0,08/28/2012,,
14701,NY,2.4,16800.0,04/01/2011,,
14701,NY,4.32,17400.0,09/09/2011,,
14710,NY,7.84,32928.0,11/20/2012,,
13126,NY,54.825,200000.0,08/31/2012,,
12989,NY,0.52,4000.0,09/01/1995,,
13148,NY,6.0,26220.0,08/10/2012,,
13673,NY,6.0,31696.0,07/17/2012,,
14842,NY,4.5,18025.0,08/20/2012,,
10805,NY,6.15,,09/14/2009,,
10548,NY,6.45,,06/15/2009,,
10304,NY,6.0,,09/12/2005,,
10305,NY,6.0,,09/12/2005,,
10468,NY,50.4,,04/22/2008,,
11235,NY,7.2,,06/10/2008,,
12495,NY,25.0,,04/12/2012,,
14882,NY,22.0,161009.0,12/20/2005,,
12472,NY,10.0,76063.0,06/10/2005,,
11550,NY,40.0,336174.0,01/31/2006,,
14092,NY,16.0,,08/10/2012,,
14701,NY,18.9,,07/10/2007,,
11213,NY,27.0,315000.0,12/10/2008,,
10601,NY,8.0,,08/26/2008,,
14850,NY,17.2,,12/20/2006,,
14850,NY,145.0,1006539.0,02/20/2001,,
13210,NY,23.0,230000.0,12/14/2007,,
13210,NY,15.4,163000.0,08/07/2007,,
13126,NY,28.2,105900.0,04/18/2012,,
12202,NY,3.5,,04/22/2008,,
12211,NY,3.78,33917.0,07/30/2007,,
12180,NY,5.13,46284.0,02/17/2007,,
11368,NY,16.8,,11/02/2005,,
11355,NY,16.8,,08/22/2007,,
10917,NY,7.56,,07/28/2005,,
10468,NY,33.6,,02/16/2006,,
10705,NY,100.0,,11/18/1996,,
11370,NY,40.0,,11/14/1996,,
10601,NY,5.5,,11/18/1997,,
14260,NY,73.5,791552,11/06/2006,,
14260,NY,747.3,7500000.0,11/11/2011,,
10469,NY,332.6,,06/17/1996,,
14001,NY,5.76,38757.0,04/22/2009,,
11364,NY,4.0,25000.0,10/13/1997,,
14502,NY,7.36,13200.0,06/20/2012,,
10710,NY,2.7,19305.0,06/18/2010,,
10536,NY,7.28,41496.0,10/31/2011,,
11566,NY,10.05,65000.0,08/18/2010,,
11762,NY,6.11,28000.0,08/23/2010,,
11518,NY,9.2,67772.0,08/31/1997,,
11222,NY,653.07,,05/05/2011,,
14842,NY,58.08,230900.0,02/14/2012,,
14456,NY,7.0,34650.0,05/11/2012,,
14837,NY,6.0,29100.0,05/29/2012,,
14842,NY,6.0,29760.0,04/26/2012,,
10021,NY,4.8,,12/15/2011,,
13428,NY,7.05,,12/01/2011,,
13329,NY,5.64,,01/24/2012,,
12866,NY,8.46,,03/12/2012,,
12828,NY,5.64,,12/08/2011,,
12804,NY,8.93,,01/26/2012,,
12801,NY,7.285,,03/05/2012,,
12758,NY,6.93,,09/30/2011,,
12572,NY,20.21,,02/28/2012,,
12431,NY,10.12,,08/15/2011,,
12303,NY,8.97,,10/26/2011,,
12302,NY,4.23,,02/06/2012,,
12198,NY,2.35,,12/06/2011,,
12188,NY,6.9,,08/17/2011,,
12180,NY,4.7,,01/05/2012,,
12137,NY,8.05,,12/14/2011,,
12134,NY,11.75,,02/14/2012,,
12123,NY,8.46,,11/29/2011,,
12123,NY,6.11,,03/07/2012,,
12110,NY,5.405,,01/17/2012,,
12095,NY,6.44,,11/01/2011,,
12090,NY,5.59,,10/05/2011,,
12089,NY,5.17,,11/21/2011,,
12076,NY,4.23,,03/15/2012,,
12065,NY,5.64,,01/31/2012,,
12061,NY,8.93,,11/18/2011,,
12033,NY,4.83,,09/28/2011,,
12866,NY,3.12,,05/03/2011,,
12816,NY,6.9,,06/15/2011,,
12816,NY,3.29,,12/22/2011,,
12724,NY,3.91,,06/27/2011,,
12540,NY,5.06,,08/01/2011,,
12189,NY,7.74,,02/14/2012,,
12188,NY,4.6,,04/06/2011,,
12154,NY,11.5,,08/17/2011,,
12143,NY,10.35,,12/29/2011,,
12067,NY,5.52,,05/17/2011,,
12010,NY,11.04,,06/27/2011,,
10964,NY,1.0,,03/24/2011,,
12468,NY,2.82,14100.0,04/20/2012,,
13166,NY,4.14,19706.4,08/31/2009,,
13031,NY,7.02,45383.6,08/31/2009,,
12561,NY,3.6,33096.0,08/31/2009,,
12538,NY,10.35,86155.99,08/31/2009,,
12538,NY,3.6,32050.0,08/31/2009,,
12529,NY,7.0,58800.0,08/31/2009,,
12054,NY,4.18,34150.0,08/31/2009,,
11217,NY,3.22,33525.0,08/31/2009,,
10924,NY,5.2,43160.0,08/31/2009,,
10562,NY,4.2,35406.0,08/31/2009,,
10474,NY,49.5,330800.0,09/01/2009,,
14611,NY,4.2,33458.38,09/03/2009,,
13317,NY,5.265,44618.44,09/03/2009,,
12577,NY,5.2,41028.0,09/03/2009,,
12553,NY,2.24,17920.0,09/03/2009,,
14850,NY,6.75,58569.63,09/04/2009,,
14607,NY,5.92,43349.68,09/04/2009,,
14502,NY,49.68,309662.63,09/04/2009,,
14420,NY,3.6,28716.09,09/04/2009,,
12801,NY,2.66,22711.0,09/04/2009,,
12487,NY,4.5,39570.0,09/04/2009,,
12446,NY,7.2,61677.0,09/04/2009,,
12419,NY,8.1,70296.0,09/04/2009,,
12168,NY,7.36,57493.0,09/04/2009,,
12029,NY,5.04,47880.0,09/04/2009,,
10980,NY,3.0,28440.0,09/04/2009,,
10954,NY,7.2,53000.0,09/04/2009,,
10954,NY,4.8,44880.0,09/04/2009,,
10583,NY,5.4,44490.0,09/04/2009,,
14568,NY,5.04,34339.16,09/08/2009,,
12498,NY,10.25,88900.0,09/08/2009,,
13108,NY,16.2,128096.0,09/09/2009,,
12550,NY,49.61,396880.0,09/09/2009,,
12534,NY,5.04,47880.0,09/09/2009,,
12533,NY,3.2,27680.0,09/09/2009,,
10533,NY,4.05,35418.0,09/09/2009,,
10512,NY,3.2,28505.37,09/09/2009,,
12492,NY,5.04,44894.0,09/10/2009,,
12477,NY,2.52,23294.0,09/15/2009,,
14787,NY,5.04,41583.0,09/18/2009,,
12833,NY,10.32,91140.0,09/18/2009,,
12563,NY,10.8,90300.0,09/18/2009,,
12140,NY,5.52,44236.0,09/18/2009,,
12020,NY,4.83,41023.0,09/25/2009,,
14845,NY,6.72,55650.0,10/08/2009,,
14772,NY,5.04,42843.0,10/08/2009,,
14724,NY,3.36,28563.0,10/08/2009,,
14476,NY,3.33,16160.0,10/08/2009,,
14075,NY,4.2,32553.0,10/08/2009,,
13346,NY,8.82,70564.0,10/08/2009,,
12850,NY,7.41,58239.0,10/08/2009,,
12553,NY,5.2,43160.0,10/08/2009,,
12309,NY,5.16,41181.0,10/08/2009,,
12188,NY,3.22,28690.0,10/08/2009,,
12180,NY,5.16,40562.0,10/08/2009,,
12149,NY,6.88,55360.0,10/08/2009,,
12123,NY,5.52,44108.0,10/08/2009,,
12106,NY,6.88,52268.0,10/08/2009,,
12009,NY,5.52,48599.0,10/08/2009,,
12009,NY,4.14,38857.0,10/08/2009,,
10916,NY,5.2,41028.0,10/08/2009,,
10914,NY,6.075,50563.0,10/08/2009,,
10516,NY,5.04,47186.0,10/08/2009,,
14568,NY,2.22,20905.19,10/16/2009,,
14051,NY,3.68,29497.48,10/16/2009,,
13476,NY,27.2,162424.0,10/16/2009,,
13104,NY,5.46,46091.02,10/16/2009,,
13104,NY,3.2,33230.0,10/16/2009,,
12972,NY,10.535,108604.0,10/16/2009,,
12901,NY,20.7,246481.0,10/16/2009,,
12809,NY,8.28,42950.0,10/16/2009,,
12758,NY,5.376,49832.0,10/16/2009,,
12724,NY,10.0,77500.0,10/16/2009,,
12572,NY,8.4,73228.0,10/16/2009,,
12561,NY,10.8,86168.0,10/16/2009,,
12529,NY,5.04,42336.0,10/16/2009,,
12477,NY,2.34,19549.0,10/16/2009,,
12412,NY,6.3,55400.0,10/16/2009,,
12209,NY,2.16,18360.0,10/16/2009,,
12204,NY,3.44,30009.0,10/16/2009,,
12204,NY,2.16,18360.0,10/16/2009,,
12196,NY,6.21,49859.0,10/16/2009,,
12136,NY,5.04,45360.0,10/16/2009,,
12023,NY,3.6,30761.0,10/16/2009,,
12020,NY,3.42,28486.0,10/16/2009,,
11221,NY,3.44,35437.0,10/16/2009,,
11216,NY,4.2,42141.0,10/16/2009,,
11214,NY,4.05,40451.0,10/16/2009,,
11206,NY,16.56,157384.0,10/16/2009,,
10605,NY,5.4,46650.0,10/16/2009,,
10547,NY,4.05,34567.5,10/16/2009,,
10538,NY,4.05,31500.0,10/16/2009,,
10536,NY,4.05,32850.0,10/16/2009,,
10039,NY,22.08,298247.0,10/16/2009,,
10520,NY,3.6,30990.0,10/20/2009,,
14221,NY,5.04,37803.0,10/21/2009,,
12603,NY,5.46,50505.0,10/21/2009,,
12567,NY,5.04,44294.0,10/21/2009,,
12550,NY,6.075,50088.0,10/21/2009,,
12525,NY,5.16,46500.0,10/21/2009,,
12481,NY,5.04,41872.0,10/21/2009,,
12442,NY,22.5,204600.0,10/21/2009,,
10989,NY,4.2,34350.0,10/21/2009,,
10950,NY,3.375,34750.0,10/21/2009,,
10583,NY,2.1,19629.04,10/21/2009,,
