Zipcode,State,Size (kW DC),Cost,Date Installed,Filters=state=MA
01950,MA,2.5,11450.0,10/26/2012,,
02493,MA,9.5,59995.0,12/17/2012,,
02667,MA,3.27,19254.0,10/26/2012,,
02769,MA,7.848,39318.0,10/26/2012,,
01827,MA,4.8,23880.0,10/26/2012,,
01720,MA,9.6,158690.0,12/27/2012,,
02360,MA,4.655,20021.67,10/26/2012,,
01062,MA,4.165,21493.0,10/26/2012,,
01225,MA,5.75,21850.0,10/26/2012,,
01226,MA,7.35,31525.0,10/26/2012,,
02081,MA,4.25,17000.0,10/26/2012,,
01519,MA,10.0,37000.0,10/26/2012,,
02790,MA,5.76,29952.0,12/20/2012,,
02360,MA,9.945,54000.0,10/26/2012,,
02119,MA,8.82,36973.0,10/26/2012,,
01970,MA,8.0,33040.0,10/26/2012,,
01375,MA,5.5,17900.0,10/26/2012,,
02492,MA,8.0,32800.0,10/26/2012,,
01803,MA,5.75,25000.0,10/26/2012,,
01339,MA,9.18,48195.0,10/26/2012,,
02631,MA,8.46,39214.0,10/26/2012,,
02657,MA,8.82,29986.0,10/26/2012,,
01243,MA,12.24,61400.0,10/26/2012,,
01037,MA,9.84,41820.0,10/26/2012,,
02081,MA,7.5,30000.0,10/26/2012,,
02653,MA,6.0,29820.0,10/26/2012,,
01519,MA,8.82,37219.0,10/26/2012,,
01378,MA,9.81,50124.0,10/26/2012,,
01060,MA,6.0,37589.86,10/26/2012,,
01773,MA,11.0,42350.0,10/19/2012,,
02176,MA,3.675,13781.25,10/19/2012,,
02176,MA,2.94,11025.0,10/19/2012,,
02176,MA,4.41,16537.5,10/19/2012,,
02176,MA,4.41,16537.5,10/19/2012,,
01950,MA,5.0,25250.0,10/19/2012,,
01773,MA,7.75,30139.5,10/19/2012,,
01778,MA,4.5,19000.0,10/19/2012,,
01778,MA,15.0,57750.0,10/19/2012,,
01720,MA,3.924,25594.0,10/19/2012,,
01201,MA,6.5,25350.0,10/19/2012,,
01240,MA,7.75,30225.0,10/19/2012,,
01778,MA,12.75,47175.0,10/19/2012,,
01778,MA,8.75,32375.0,10/19/2012,,
01201,MA,10.75,41925.0,10/19/2012,,
02135,MA,8.84,43979.0,10/19/2012,,
02176,MA,6.37,37964.7,10/16/2012,,
01778,MA,5.25,19950.0,11/26/2012,,
02492,MA,7.0,30000.0,10/16/2012,,
02630,MA,6.213,33009.0,10/11/2012,,
01821,MA,9.6,47760.0,10/11/2012,,
02702,MA,10.535,51926.25,11/15/2012,,
01201,MA,5.0,19500.0,10/11/2012,,
01543,MA,9.6,39550.0,10/16/2012,,
01033,MA,9.0,33503.0,12/20/2012,,
02176,MA,4.41,16096.5,10/11/2012,,
01568,MA,7.5,39986.0,10/11/2012,,
02745,MA,4.8,23880.0,10/25/2012,,
02492,MA,6.12,26928.0,10/16/2012,,
01590,MA,14.715,79535.0,10/11/2012,,
02492,MA,6.12,26928.0,10/16/2012,,
02090,MA,7.848,40888.0,10/11/2012,,
