Zipcode,State,Size (kW DC),Cost,Date Installed,Filters=state=TX
75220,TX,30.36,133407.62,09/09/2010,,
76116,TX,3.22,18564.52,09/13/2010,,
76543,TX,10.34,69795.0,09/13/2010,,
75007,TX,8.4,43594.8,09/16/2010,,
75025,TX,4.14,38600.0,09/16/2010,,
75101,TX,6.44,37142.0,09/17/2010,,
76310,TX,5.4,32874.0,09/17/2010,,
75116,TX,44.1,399731.0,09/17/2010,,
75116,TX,88.2,564661.0,09/17/2010,,
75116,TX,53.55,437119.0,09/17/2010,,
76210,TX,9.66,80950.8,09/17/2010,,
76013,TX,9.45,79191.0,09/17/2010,,
75019,TX,4.14,21907.37,09/20/2010,,
75023,TX,2.25,16830.0,09/20/2010,,
75080,TX,4.14,48650.0,09/20/2010,,
76367,TX,5.4,32135.53,09/21/2010,,
76126,TX,5.04,24450.0,09/21/2010,,
76114,TX,5.52,11609.78,09/21/2010,,
75050,TX,10.368,70000.0,09/22/2010,,
76502,TX,3.136,20384.0,09/29/2010,,
75007,TX,3.96,21306.0,09/30/2010,,
75062,TX,103.68,576405.0,09/30/2010,,
78664,TX,7.92,41958.0,10/05/2010,,
75253,TX,4.14,36800.0,10/05/2010,,
75103,TX,10.14,55665.66,10/05/2010,,
75025,TX,3.22,17458.18,10/08/2010,,
75087,TX,4.025,23540.0,10/08/2010,,
75098,TX,10.08,106102.5,10/11/2010,,
75228,TX,5.6,29747.66,10/11/2010,,
75248,TX,9.45,53258.0,10/12/2010,,
75025,TX,1.4,13750.0,10/13/2010,,
76052,TX,6.44,32200.0,10/14/2010,,
76065,TX,2.76,13883.0,10/14/2010,,
76040,TX,7.56,63352.8,10/14/2010,,
75230,TX,7.74,64861.2,10/14/2010,,
76110,TX,5.16,43240.8,10/14/2010,,
75287,TX,7.095,59456.1,10/14/2010,,
75075,TX,8.19,68632.2,10/14/2010,,
76210,TX,7.525,63059.5,10/14/2010,,
76179,TX,7.74,64861.2,10/14/2010,,
76210,TX,10.08,34600.0,10/18/2010,,
78681,TX,5.16,25709.71,10/18/2010,,
75119,TX,7.56,63352.8,10/18/2010,,
75023,TX,4.3,36034.0,10/18/2010,,
76018,TX,5.805,48645.9,10/18/2010,,
75238,TX,8.385,70266.3,10/18/2010,,
76302,TX,49.4,232735.0,10/18/2010,,
76040,TX,6.93,58073.4,10/19/2010,,
76021,TX,251.32,1326849.0,10/20/2010,,
75063,TX,9.4,57960.0,10/20/2010,,
76309,TX,5.6,52979.51,10/21/2010,,
78664,TX,7.2,41075.0,10/21/2010,,
75115,TX,66.24,150000.0,10/22/2010,,
76108,TX,5.88,49274.4,10/22/2010,,
75785,TX,1.54,9500.0,10/22/2010,,
75093,TX,3.68,20200.0,10/27/2010,,
75002,TX,3.96,21711.71,11/02/2010,,
76008,TX,10.08,90504.0,11/03/2010,,
76262,TX,8.385,70266.3,11/03/2010,,
75007,TX,3.36,28156.8,11/03/2010,,
76123,TX,5.184,43441.92,11/05/2010,,
75052,TX,10.08,84470.4,11/05/2010,,
76137,TX,7.56,63352.8,11/05/2010,,
76054,TX,4.73,39637.4,11/05/2010,,
75205,TX,6.3,41641.0,11/11/2010,,
75149,TX,3.78,31676.4,11/11/2010,,
76112,TX,10.32,86481.6,11/11/2010,,
76018,TX,8.6,72068.0,11/11/2010,,
75081,TX,7.56,63352.8,11/11/2010,,
76054,TX,5.16,43240.8,11/11/2010,,
75234,TX,9.45,79191.0,11/11/2010,,
76401,TX,10.675,54710.22,11/11/2010,,
75002,TX,1.05,7751.03,11/12/2010,,
76001,TX,9.89,82878.2,11/12/2010,,
76513,TX,3.74,29985.0,11/15/2010,,
76309,TX,7.84,49753.1,11/15/2010,,
76148,TX,8.4,70392.0,11/18/2010,,
75023,TX,5.88,49274.4,11/18/2010,,
76126,TX,6.09,51034.2,11/18/2010,,
75019,TX,3.96,22596.18,11/23/2010,,
76087,TX,6.09,51034.2,11/29/2010,,
75007,TX,1.26,11151.0,12/28/2010,,
76034,TX,11.76,40700,01/28/2010,,
78255,TX,4.55,32999,08/24/2007,,
78212,TX,2.78,,12/05/2008,,
78665,TX,3.85,19308,02/18/2010,,
76542,TX,2,18810,12/09/2009,,
75081,TX,7.84,36924,09/24/2009,,
76008,TX,8.19,53889,09/24/2009,,
78249,TX,2.09,,01/08/2009,,
75904,TX,5.85,35275,01/12/2010,,
78665,TX,2.632,21056,10/13/2009,,
76087,TX,2.4,30448,10/12/2009,,
75007,TX,0.45,3000,01/01/2010,,
78665,TX,8.2,52036,07/08/2009,,
76513,TX,7.48,51986,11/11/2009,,
77384,TX,8.46,44087,02/09/2010,,
76705,TX,10,90000,11/20/2009,,
76708,TX,5.1,53570,12/07/2009,,
75074,TX,10.08,56980,01/11/2010,,
76502,TX,2.688,19680,02/09/2010,,
75070,TX,3.5,29094,06/03/2009,,
76513,TX,10,64825,09/04/2009,,
75007,TX,4.2,26480,10/09/2009,,
76051,TX,10.5,53901,12/17/2009,,
78023,TX,3.96,,06/30/2008,,
78332,TX,5.18,36200,12/30/2009,,
76116,TX,3.85,25349,01/21/2010,,
75214,TX,3.5,26894,05/12/2009,,
75007,TX,5.4,35050,09/16/2009,,
78665,TX,9.45,66506,12/17/2009,,
76135,TX,7.92,38584,01/15/2010,,
75009,TX,1.05,17840,12/15/2009,,
79762,TX,10.58,82944,02/17/2010,,
76262,TX,4,25639,01/19/2010,,
77357,TX,5.6,34562,12/13/2009,,
76131,TX,2.8,23698,02/02/2010,,
76131,TX,2.87,25311,06/19/2009,,
76579,TX,10,51106,08/19/2009,,
76016,TX,7.2,54000,09/24/2009,,
78231,TX,4.59,,10/24/2007,,
76513,TX,21.6,117825,12/30/2009,,
76055,TX,2.45,16400,02/05/2010,,
76051,TX,5.535,33803,11/17/2009,,
78231,TX,2.82,,09/14/2007,,
75013,TX,7.2,59529,09/15/2009,,
75025,TX,2.8,17717,02/16/2010,,
75020,TX,2.1,16792,04/21/2009,,
75214,TX,2.1,16238,12/08/2009,,
75125,TX,10.08,66800,09/24/2009,,
75703,TX,5.4,34284,12/13/2009,,
76571,TX,12.25,96032,12/29/2009,,
75205,TX,8.4,43113,01/15/2010,,
75006,TX,1.41,27648,01/10/2010,,
75964,TX,10.08,75089,07/07/2009,,
75067,TX,9.03,38562,12/13/2009,,
75002,TX,5.4,55532,11/25/2009,,
76247,TX,8.28,47840,01/11/2010,,
75482,TX,2.85,40670,08/19/2009,,
76542,TX,5.04,32799,06/23/2009,,
78201,TX,13.37,,04/15/2009,,
75229,TX,5.25,37861,01/20/2010,,
78006,TX,2.28,,05/20/2008,,
75087,TX,2.3,,02/18/2010,,
76034,TX,3.024,24849,05/27/2009,,
75214,TX,2.16,19262,11/12/2009,,
78664,TX,3.76,21244,11/17/2009,,
76107,TX,1.05,17840,12/15/2009,,
78209,TX,2.6,,05/28/2009,,
75065,TX,4.6,26169,01/15/2010,,
76571,TX,5.25,31372,11/06/2009,,
75050,TX,7.392,53311,11/19/2009,,
76051,TX,5.06,23158,02/08/2010,,
76035,TX,6.272,45785,10/05/2009,,
78248,TX,2.15,,01/16/2008,,
78258,TX,16,,10/06/2008,,
75092,TX,3.01,26827,02/08/2010,,
76571,TX,5.25,31197,11/20/2009,,
75605,TX,5.52,48836,12/31/2009,,
75022,TX,5.06,32894,12/08/2009,,
76505,TX,5.52,48836,12/31/2009,,
78664,TX,102,693924,01/13/2010,,
76559,TX,4.92,31415,12/04/2009,,
75771,TX,5.376,39600,05/20/2009,,
75248,TX,4.2,31550,12/08/2009,,
75076,TX,2,12567,02/22/2010,,
76020,TX,6.3,47725,11/20/2009,,
75069,TX,2.1,25631,09/15/2009,,
75230,TX,3.04,23945,12/11/2009,,
75150,TX,4.32,48000,12/01/2009,,
75709,TX,7.875,52500,01/19/2010,,
76107,TX,2.16,18450,01/28/2010,,
76033,TX,3,23205,11/11/2009,,
78232,TX,4.86,,01/30/2009,,
76542,TX,2.1,18810,06/23/2009,,
76021,TX,3.64,21912,01/28/2010,,
75252,TX,7,38286,01/15/2010,,
75165,TX,5.25,35000,12/18/2009,,
75022,TX,4.725,28086,02/18/2010,,
76502,TX,4.356,32654,02/09/2010,,
78682,TX,100.62,655813,10/15/2009,,
76108,TX,9.8,70153,12/17/2009,,
78006,TX,3.06,,05/20/2008,,
76179,TX,9.6,67634,08/19/2009,,
78232,TX,5.34,,09/05/2008,,
78210,TX,1.05,,05/11/2009,,
76040,TX,3.24,25722,06/19/2009,,
75762,TX,10,74000,09/29/2009,,
76249,TX,9.8,54614,02/03/2010,,
76182,TX,4.6,36354,01/11/2010,,
75771,TX,5,42500,05/20/2009,,
75023,TX,3.024,24933,12/02/2009,,
78539,TX,67.5,300750,01/12/2010,,
75220,TX,10.5,68250,11/25/2009,,
75230,TX,6.44,37640,10/04/2009,,
77575,TX,10.15,50540,12/11/2009,,
77546,TX,4.2,26800,12/16/2009,,
76036,TX,3.12,12362,01/29/2010,,
78163,TX,3.96,,04/30/2009,,
75021,TX,2.46,29520,11/19/2009,,
78253,TX,4.81,,10/08/2008,,
75125,TX,3.15,22000,07/10/2009,,
75116,TX,1.05,17840,12/15/2009,,
76164,TX,236.13,1471931,07/07/2009,,
75231,TX,6.272,47922,06/03/2009,,
76179,TX,2.05,12880,07/07/2009,,
77546,TX,3.15,23256,12/07/2009,,
75074,TX,3.24,24658,02/10/2010,,
75252,TX,10.2,49939,02/12/2010,,
75043,TX,4.6,31955,08/19/2009,,
78213,TX,3.6,,10/06/2008,,
75229,TX,2.1,20459,01/10/2010,,
75204,TX,2.7,17318,12/14/2009,,
76116,TX,3.36,25455,08/03/2009,,
75234,TX,24.3,198502,11/19/2009,,
76539,TX,5.25,26511,12/11/2009,,
75019,TX,2.025,14175,01/11/2010,,
76543,TX,3.15,21232,06/23/2009,,
75703,TX,3.5,24500,10/12/2009,,
75961,TX,10.8,67188,10/22/2009,,
76574,TX,7.175,37075,01/13/2010,,
78681,TX,7,35151,12/11/2009,,
78212,TX,6.8,,01/30/2009,,
75165,TX,4.725,34358,12/18/2009,,
76681,TX,7.2,59718,08/19/2009,,
76710,TX,3.15,17745,01/25/2010,,
78229,TX,3.96,,10/22/2008,,
75019,TX,2.7,25074,12/15/2009,,
78216,TX,3.2,,05/20/2009,,
75104,TX,5.2,35500,02/12/2010,,
75023,TX,7.875,45815,11/25/2009,,
76179,TX,5.95,38664,01/19/2010,,
75217,TX,3.28,54152,12/17/2009,,
76117,TX,5.04,34020,12/30/2009,,
78249,TX,3.99,,01/08/2009,,
77706,TX,9.625,80171,08/10/2009,,
78621,TX,2.38,18445,08/19/2009,,
75087,TX,7.2,55500,11/11/2009,,
78212,TX,3.68,,04/21/2009,,
76033,TX,5.98,43154,01/11/2010,,
77381,TX,5,36136,12/13/2009,,
75087,TX,3.96,32374,01/14/2010,,
75228,TX,3.6,29520,02/08/2010,,
78261,TX,4,,09/05/2008,,
75074,TX,49.14,276828,12/29/2009,,
77304,TX,2.8,20728,12/13/2009,,
76574,TX,4.48,22000,01/21/2010,,
77384,TX,8.46,45595,02/09/2010,,
76210,TX,95.04,462641,02/16/2010,,
76543,TX,1.575,8062,12/08/2009,,
76470,TX,3.15,22780,11/11/2009,,
76935,TX,5.184,29289,11/11/2009,,
75703,TX,2.31,20790,06/25/2009,,
75093,TX,1.125,8195,09/29/2009,,
76208,TX,10.08,54927,12/15/2009,,
79745,TX,1.12,7339,11/12/2009,,
76502,TX,2.708,20987,08/19/2009,,
75287,TX,1.75,10500,10/13/2009,,
76180,TX,5.755,42169,07/10/2009,,
78201,TX,4.32,,09/18/2008,,
75422,TX,10.2,100000,01/08/2010,,
75074,TX,0.72,5000,12/17/2009,,
75125,TX,4.05,27720,10/22/2009,,
76107,TX,3.85,33746,08/19/2009,,
76123,TX,1.62,9720,12/01/2009,,
75706,TX,10.8,56189,01/06/2010,,
75229,TX,3.075,19583,10/13/2009,,
75063,TX,6,45979,06/03/2009,,
76513,TX,7.59,53130,11/12/2009,,
75093,TX,8.1,63273,08/19/2009,,
78148,TX,2.8,,01/08/2009,,
75243,TX,3.44,61161,01/20/2010,,
78023,TX,3.71,,10/03/2008,,
75074,TX,10.08,89700,11/11/2009,,
75025,TX,1,8817,01/28/2010,,
75090,TX,4.32,34994,04/21/2009,,
75422,TX,9.6,100000,01/13/2010,,
76247,TX,3.5,23038,01/13/2010,,
79707,TX,5.376,31512,01/20/2010,,
76043,TX,8.28,54324,12/16/2009,,
78660,TX,6.3,29319,12/18/2009,,
77706,TX,10.08,61002,01/10/2010,,
75007,TX,1.26,11151,02/12/2010,,
75248,TX,3.888,28432,11/06/2009,,
78221,TX,10.5,,06/30/2008,,
75248,TX,4.32,33055,01/13/2010,,
75428,TX,10.2,100000,01/08/2010,,
78665,TX,5.46,26648,01/13/2010,,
75703,TX,2.94,26894,06/25/2009,,
76502,TX,10,67981,09/15/2009,,
75165,TX,5.25,37500,09/24/2009,,
78249,TX,4.32,,11/20/2008,,
75006,TX,4.2,33218,11/17/2009,,
75205,TX,5.52,31350,12/14/2009,,
76513,TX,6.105,42212,09/15/2009,,
76051,TX,2.7,27701,10/06/2009,,
75228,TX,4.68,46800,08/19/2009,,
76708,TX,47.25,363310,08/03/2009,,
75495,TX,5.28,29400,02/08/2010,,
76132,TX,1.8,14312,01/29/2010,,
75275,TX,15.3,86445,02/08/2010,,
76249,TX,2.87,19560,08/03/2009,,
75002,TX,4,42196,07/08/2009,,
78232,TX,4.01,,12/13/2007,,
75421,TX,2.46,19862,06/18/2009,,
76051,TX,6,44581,08/19/2009,,
75706,TX,10.8,54627,12/29/2009,,
76179,TX,8.8,53967,12/07/2009,,
76705,TX,0.368,3000,12/17/2009,,
75075,TX,2.25,16675,10/22/2009,,
77865,TX,1.08,10260,09/16/2009,,
75002,TX,4.4,34776,11/17/2009,,
78261,TX,3.6,,01/30/2009,,
75216,TX,4.375,27138,11/20/2009,,
75801,TX,10.08,61152,10/09/2009,,
75116,TX,2.64,14520,12/14/2009,,
75771,TX,9.856,78900,07/10/2009,,
78539,TX,37.8,179250,01/12/2010,,
75070,TX,4.23,34500,01/14/2010,,
75098,TX,4.5,31500,09/16/2009,,
76012,TX,5.25,48550,12/30/2009,,
78232,TX,4,,12/19/2007,,
75048,TX,3.04,29033,01/28/2010,,
75173,TX,8.05,45100,01/14/2010,,
76513,TX,3.12,21210,11/06/2009,,
75248,TX,6.15,44900,01/14/2010,,
75007,TX,2.1,18522,05/20/2009,,
75225,TX,2.8,23184,01/29/2010,,
78216,TX,4.4,,05/05/2009,,
76645,TX,10.08,71580,09/01/2009,,
76249,TX,2.46,19170,08/03/2009,,
75001,TX,4.2,29947,12/05/2009,,
75762,TX,3.15,28350,11/25/2009,,
75766,TX,4.92,52100,09/29/2009,,
75156,TX,2.8,,08/03/2009,,
78209,TX,1.02,,12/30/2008,,
76249,TX,10.5,59531,02/03/2010,,
75234,TX,3.01,20000,10/21/2009,,
79707,TX,5.46,34800,01/14/2010,,
76022,TX,1.6,13151,12/18/2009,,
78748,TX,1.35,6337.46583,12/19/2014,,
78736,TX,8.82,34062.51964,07/29/2014,,
78746,TX,4.76,17026.41409,11/24/2014,,
78732,TX,12.48,44058.4404,05/27/2014,,
78736,TX,5.2,30790.9861,06/17/2014,,
78746,TX,7.67,27570.91297,03/06/2014,,
78727,TX,5.08,27960.31585,04/07/2014,,
78759,TX,10.26,31884.79073,11/13/2014,,
78735,TX,5.035,22234.5369,10/31/2014,,
78732,TX,7.95,36838.82419,01/30/2014,,
78758,TX,4.16,14794.38533,07/15/2014,,
78732,TX,4.24,11671.38397,02/18/2014,,
78734,TX,9,32238.82275,07/15/2014,,
78759,TX,4.77,15003.7052,04/30/2014,,
78731,TX,2.43,19583.06716,06/30/2014,,
78730,TX,5.98,30249.80727,02/06/2014,,
78746,TX,3.8625,20657.61768,08/18/2014,,
78759,TX,7,20518.77608,07/07/2014,,
78746,TX,7,28355.77407,01/27/2014,,
78703,TX,5,13846.25781,09/16/2014,,
78731,TX,7.395,54101.23872,03/18/2014,,
78745,TX,8.4,29322.30816,12/29/2014,,
78729,TX,4.505,17010.21441,07/08/2014,,
78738,TX,9.18,41453.90403,12/08/2014,,
78746,TX,11.75,47209.20038,02/19/2014,,
78747,TX,8.48,31597.92151,07/29/2014,,
78734,TX,10.22,33040.69453,07/31/2014,,
78725,TX,7.42,25804.96923,07/08/2014,,
78723,TX,6.5,22690.97024,06/30/2014,,
78749,TX,6.5,18390.40031,09/12/2014,,
78746,TX,10,29455.11886,03/07/2014,,
78759,TX,7.95,22851.20857,02/17/2014,,
78749,TX,7.848,32516.95287,11/04/2014,,
78734,TX,2.5,9985.827091,04/21/2014,,
78741,TX,5.1,15196.84153,06/02/2014,,
78749,TX,5,14531.4969,08/15/2014,,
78748,TX,9.54,36553.8671,02/13/2014,,
78746,TX,5.61,22195.36855,08/18/2014,,
78746,TX,9.88,25953.02239,07/08/2014,,
78744,TX,9.275,34135.64709,02/25/2014,,
78754,TX,2.76,10184.92207,05/19/2014,,
78741,TX,3.71,13640.38398,09/05/2014,,
78746,TX,5.83,19991.62584,04/24/2014,,
78721,TX,6.36,17311.30322,09/03/2014,,
78759,TX,10.07,30569.39246,08/05/2014,,
78733,TX,6.5,21981.37733,08/19/2014,,
78748,TX,4.24,14978.35339,05/20/2014,,
78747,TX,5.75,17188.96928,08/11/2014,,
78753,TX,4.9,24136.16007,06/17/2014,,
78746,TX,4.5,13565.24743,12/19/2014,,
78734,TX,5.565,24841.13326,07/14/2014,,
78731,TX,14,44947.66473,10/14/2014,,
78735,TX,6.24,19514.01624,03/18/2014,,
78730,TX,9.81,48644.17963,01/30/2014,,
78747,TX,7,22426.32289,09/30/2014,,
78745,TX,7.4,30373.8179,06/02/2014,,
78738,TX,10.6,43342.03041,01/20/2014,,
78704,TX,11.07,31599.46461,10/02/2014,,
78745,TX,5.3,17174.43489,10/31/2014,,
78748,TX,8,24361.17812,02/03/2014,,
78749,TX,6.24,28337.55707,01/15/2014,,
78745,TX,5.035,27993.38166,10/22/2014,,
78747,TX,8.48,29766.96736,11/19/2014,,
78704,TX,6.25,19356.60442,06/19/2014,,
78759,TX,7.194,28847.28473,11/07/2014,,
78745,TX,7.25,27271.03181,03/26/2014,,
78754,TX,7.848,30852.59923,09/26/2014,,
78741,TX,5,16694.8469,10/21/2014,,
78753,TX,1.84,6404.963387,09/30/2014,,
78729,TX,4.25,16487.20746,08/11/2014,,
78744,TX,1.25,4992.913545,04/17/2014,,
78730,TX,10.92,41058.12257,05/05/2014,,
78741,TX,5,16450.01466,09/26/2014,,
78734,TX,5.5,18654.04781,02/24/2014,,
78736,TX,5.035,24059.45349,11/24/2014,,
78741,TX,7.54,24484.06656,09/26/2014,,
78733,TX,9,28081.41827,03/06/2014,,
78751,TX,6.36,12982.81589,10/24/2014,,
78745,TX,8.75,27532.21008,08/20/2014,,
78754,TX,7.5,22771.25122,01/17/2014,,
78754,TX,8,28879.04085,03/06/2014,,
78727,TX,5.94,17706.75979,07/08/2014,,
78746,TX,6,21045.13059,04/22/2014,,
78721,TX,3.24,11423.22802,11/17/2014,,
78727,TX,4.86,13765.31773,05/27/2014,,
78731,TX,4.86,19844.03674,11/13/2014,,
78723,TX,4.5,15630.509,02/14/2014,,
78745,TX,3.06,18149.88436,02/07/2014,,
78745,TX,3.18,11934.71439,09/23/2014,,
78746,TX,10.14,31717.98259,04/01/2014,,
78704,TX,5.25,20345.88929,02/21/2014,,
78727,TX,5.25,17230.74389,09/23/2014,,
78734,TX,12.5,45854.918,04/09/2014,,
78736,TX,9.01,28544.49804,08/29/2014,,
78704,TX,6.72,13353.42492,06/19/2014,,
78759,TX,5.94,24506.27479,07/11/2014,,
78746,TX,9.25,28401.36448,07/28/2014,,
78748,TX,6.63,20837.01676,09/24/2014,,
78759,TX,3,8525.359569,10/14/2014,,
78733,TX,6,21190.80757,05/16/2014,,
78753,TX,4.24,19674.17754,07/21/2014,,
78745,TX,5.25,16145.83463,02/11/2014,,
78704,TX,6.24,19158.21127,02/24/2014,,
78735,TX,3,9504.27578,08/13/2014,,
78704,TX,3.75,21577.39927,02/13/2014,,
78731,TX,7.194,23574.68313,02/26/2014,,
78747,TX,3,10304.58468,04/29/2014,,
78734,TX,5.75,17104.43483,09/12/2014,,
78733,TX,7,37003.78926,01/02/2014,,
78735,TX,7.54,18483.90575,04/29/2014,,
78745,TX,4.42,19035.62103,03/21/2014,,
78724,TX,5.4,20933.12764,12/29/2014,,
78731,TX,4.42,35823.85876,05/27/2014,,
78733,TX,5.94,18823.22508,06/18/2014,,
78731,TX,7.68,21876.59077,10/29/2014,,
78727,TX,4.59,13226.41299,07/25/2014,,
78746,TX,10.07,34059.38733,02/17/2014,,
78757,TX,6.095,21849.99367,11/21/2014,,
78748,TX,8.84,34364.30533,03/26/2014,,
78732,TX,7.42,23489.55676,09/19/2014,,
78734,TX,1.635,4697.931009,12/11/2014,,
78732,TX,3.78,16095.76262,07/31/2014,,
78736,TX,6.625,20595.28677,07/14/2014,,
78759,TX,7.8,26268.93263,02/10/2014,,
78730,TX,9.35,27384.5597,12/23/2014,,
78725,TX,3.18,11849.22057,07/22/2014,,
78748,TX,6.5,19544.01001,07/21/2014,,
78746,TX,13.475,39914.39211,12/08/2014,,
78727,TX,5,15903.04769,06/13/2014,,
78738,TX,10.2,34578.19461,10/15/2014,,
78734,TX,10.4,27872.87468,06/30/2014,,
78745,TX,5.5,16777.8771,12/17/2014,,
78753,TX,9.25,26867.89407,05/08/2014,,
78735,TX,4.8,14783.64963,12/16/2014,,
78758,TX,3.5,12833.84489,04/14/2014,,
78733,TX,6.86,37586.03031,06/16/2014,,
78704,TX,2.7,12411.56838,06/11/2014,,
78759,TX,5.94,16849.56924,08/05/2014,,
78736,TX,6.24,19899.31725,03/04/2014,,
78757,TX,6.24,28233.15345,02/21/2014,,
78745,TX,3.57,10056.73305,12/30/2014,,
78759,TX,5.1,30249.80727,02/14/2014,,
78731,TX,4.16,12503.39739,03/13/2014,,
78733,TX,7.02,19199.97177,09/19/2014,,
78748,TX,4.505,19698.24609,09/02/2014,,
78749,TX,5.5,15124.90363,02/13/2014,,
78730,TX,10.53,33063.03934,02/25/2014,,
78732,TX,11.13,37917.12508,02/18/2014,,
78745,TX,6,28445.06897,09/30/2014,,
78759,TX,9.156,32807.79703,10/01/2014,,
78749,TX,4.32,14590.58052,12/09/2014,,
78736,TX,7.56,23417.90537,08/11/2014,,
78704,TX,8.91,29207.17405,11/18/2014,,
78704,TX,4.42,14026.24707,03/18/2014,,
78724,TX,4.845,16367.06453,01/23/2014,,
78730,TX,7.848,22290.91812,08/26/2014,,
78734,TX,13.5,38091.86726,05/20/2014,,
78748,TX,4.32,12254.23218,08/11/2014,,
78703,TX,7,24435.72615,03/17/2014,,
78758,TX,4.5,16587.16394,10/21/2014,,
78733,TX,9.54,28464.29381,09/25/2014,,
78759,TX,8.1,22189.37514,06/09/2014,,
78723,TX,7.155,24682.45176,06/24/2014,,
78735,TX,6.36,18897.56476,08/12/2014,,
78738,TX,8.5,30947.08382,07/01/2014,,
78738,TX,5.4,24458.78132,12/19/2014,,
78724,TX,5.035,16778.55976,02/04/2014,,
78746,TX,6.095,18846.90313,09/09/2014,,
78730,TX,11.772,46458.37636,12/23/2014,,
78747,TX,4.24,19707.09853,08/12/2014,,
78749,TX,11.13,41587.9938,12/12/2014,,
78738,TX,10.92,39324.74945,02/24/2014,,
78723,TX,1.25,4975.535939,05/23/2014,,
78734,TX,7.02,21274.94017,07/15/2014,,
78733,TX,7.02,22321.24871,07/25/2014,,
78733,TX,8.25,22002.2788,08/19/2014,,
78744,TX,2,7960.857503,05/20/2014,,
78747,TX,7.42,28160.44734,01/10/2014,,
78738,TX,10.5,60118.71413,05/16/2014,,
78745,TX,6.5,21253.1678,01/28/2014,,
78747,TX,5.886,24856.53477,07/22/2014,,
78750,TX,10.6,32293.47324,07/22/2014,,
78733,TX,10.26,32550.43561,11/19/2014,,
78746,TX,7.68,24976.72015,11/10/2014,,
78752,TX,3.57,15330.9538,07/15/2014,,
78732,TX,10.6,29567.29925,12/16/2014,,
78735,TX,7,20796.99677,07/08/2014,,
78759,TX,7.02,23389.05652,09/23/2014,,
78705,TX,5.75,23726.94049,02/04/2014,,
78757,TX,5.6,18705.68478,12/30/2014,,
78703,TX,4.59,17386.96505,11/17/2014,,
78723,TX,6.89,23410.7204,11/17/2014,,
78744,TX,4,14959.33045,07/29/2014,,
78745,TX,3.75,12345.46747,09/12/2014,,
78732,TX,8,24018.34697,02/27/2014,,
78745,TX,6,16750.68251,10/02/2014,,
78746,TX,8.16,27443.64356,02/06/2014,,
78749,TX,6.125,18989.9208,09/30/2014,,
78704,TX,3.38,13108.24982,02/28/2014,,
78723,TX,4.24,12275.61379,02/04/2014,,
78738,TX,4.905,19976.38146,03/06/2014,,
78704,TX,3.38,13108.24982,02/28/2014,,
78727,TX,13.5,41128.90794,10/03/2014,,
78748,TX,7.42,30780.4569,01/03/2014,,
78735,TX,3.75,13091.13538,06/04/2014,,
78748,TX,3.975,13252.06837,03/12/2014,,
78753,TX,6.5,20645.49346,02/24/2014,,
78704,TX,3.38,13108.24982,02/28/2014,,
78733,TX,10.8,30595.76812,08/05/2014,,
78759,TX,8.91,28880.30153,07/25/2014,,
78756,TX,6,21772.20695,06/04/2014,,
78749,TX,3.18,21334.14734,09/22/2014,,
78728,TX,3.18,13934.31209,08/12/2014,,
78732,TX,5,15944.96754,03/20/2014,,
78704,TX,5.3,17797.82044,05/06/2014,,
78724,TX,0.5,993.6453305,07/08/2014,,
78750,TX,7.37,38989.39697,11/07/2014,,
78730,TX,10.44,40497.7828,03/13/2014,,
78703,TX,6,18217.00097,01/15/2014,,
78733,TX,5.61,14659.19417,04/07/2014,,
78732,TX,5.2,31345.87642,05/16/2014,,
78730,TX,9,28006.79643,09/15/2014,,
78745,TX,5,17040.21549,05/05/2014,,
78759,TX,7.29,34744.15141,06/20/2014,,
78758,TX,4.59,18952.20078,10/03/2014,,
78738,TX,8.16,28388.98974,01/29/2014,,
78731,TX,1.02,24286.29847,01/13/2014,,
78725,TX,4,14776.0119,01/23/2014,,
78759,TX,2.385,9111.46807,04/15/2014,,
78723,TX,6.76,19240.48268,06/03/2014,,
78746,TX,4.59,15535.64474,07/29/2014,,
78758,TX,13.78,50399.62255,09/18/2014,,
78731,TX,3.597,13773.10795,09/30/2014,,
78731,TX,11.13,31819.05984,05/19/2014,,
78759,TX,12.925,37899.99494,11/07/2014,,
78746,TX,6.625,21137.84489,03/25/2014,,
78727,TX,4.86,19993.74724,08/05/2014,,
78704,TX,5,16477.78276,09/02/2014,,
78704,TX,11.7,38146.0202,12/05/2014,,
78747,TX,4.77,16350.59046,10/13/2014,,
78734,TX,2.52,5710.686309,03/13/2014,,
78749,TX,5.3,31047.34426,05/19/2014,,
78746,TX,12.72,35078.14769,08/12/2014,,
78732,TX,9.5,28553.43154,03/31/2014,,
78738,TX,8.32,28009.07296,02/27/2014,,
78704,TX,3.38,13108.24982,02/28/2014,,
78727,TX,8.91,23883.87264,06/03/2014,,
78725,TX,6,21657.98232,06/30/2014,,
78738,TX,10.464,45389.28981,08/14/2014,,
78759,TX,10.5,29427.02744,09/03/2014,,
78750,TX,2.08,3744.605756,01/17/2014,,
78749,TX,6.12,18867.23228,05/27/2014,,
78733,TX,6,21323.62879,07/01/2014,,
78703,TX,3.9,16476.6147,04/14/2014,,
78738,TX,1.96,6049.961453,02/06/2014,,
78749,TX,5.5,17857.46956,02/11/2014,,
78730,TX,6.25,19207.92824,09/18/2014,,
78747,TX,8,30118.72477,02/18/2014,,
78702,TX,6.24,18217.00097,01/22/2014,,
78731,TX,8.1,27648.18132,07/15/2014,,
