Zipcode,State,Size (kW DC),Cost,Date Installed,Filters=state=TX
78023,TX,2.5,10000.0,10/10/2012,,
78260,TX,7.85,36718.07,10/10/2012,,
78250,TX,5.3,25080.0,10/10/2012,,
78201,TX,2.9,14428.8,10/10/2012,,
78073,TX,5.8,26171.33,10/10/2012,,
78229,TX,8.6,36720.0,10/10/2012,,
78023,TX,24.5,128650.0,10/08/2012,,
78163,TX,24.5,128650.0,10/08/2012,,
78163,TX,15.0,78445.0,10/08/2012,,
78163,TX,15.0,74500.0,10/08/2012,,
78249,TX,7.05,34085.0,10/04/2012,,
78217,TX,28.44,112311.15,10/03/2012,,
78258,TX,9.62,37442.28,10/03/2012,,
78245,TX,7.56,40787.02,10/03/2012,,
78251,TX,5.06,20160.54,10/03/2012,,
78023,TX,5.52,17090.3,10/02/2012,,
78266,TX,7.5,28500.0,10/02/2012,,
78258,TX,6.38,18884.8,10/02/2012,,
78232,TX,2.16,10185.0,10/02/2012,,
78253,TX,6.72,22982.0,10/02/2012,,
78258,TX,5.92,28576.51,10/02/2012,,
78255,TX,6.53,24260.0,10/02/2012,,
78222,TX,4.6,18225.0,10/01/2012,,
78249,TX,4.5,16200.0,09/28/2012,,
78249,TX,5.17,15769.0,09/28/2012,,
78052,TX,6.72,24300.92,09/28/2012,,
78255,TX,5.92,20823.6,09/28/2012,,
78213,TX,8.1,27054.0,09/28/2012,,
78073,TX,6.38,20607.68,09/28/2012,,
78251,TX,5.76,22447.46,09/28/2012,,
78210,TX,4.7,23480.0,09/28/2012,,
78224,TX,28.8,107633.0,09/25/2012,,
78229,TX,50.4,274000.0,09/19/2012,,
78230,TX,5.17,25074.5,09/19/2012,,
78259,TX,6.21,24521.55,09/19/2012,,
78231,TX,7.35,33075.0,09/12/2012,,
78261,TX,10.26,38859.75,09/11/2012,,
78109,TX,4.35,17661.0,09/11/2012,,
78223,TX,2.9,12495.0,09/07/2012,,
78261,TX,4.35,20010.0,09/06/2012,,
78220,TX,8.28,18230.4,08/28/2012,,
78613,TX,7.99,28037.99,08/27/2012,,
78216,TX,25.3,113213.62,08/27/2012,,
78213,TX,5.63,24483.0,08/27/2012,,
78240,TX,2.21,20409.0,08/21/2012,,
78265,TX,16.5,64321.15,08/20/2012,,
78259,TX,6.96,29841.0,08/20/2012,,
78244,TX,3.12,13127.27,08/20/2012,,
78259,TX,5.52,28409.87,08/20/2012,,
78230,TX,20.01,92037.75,08/20/2012,,
78230,TX,7.2,32400.0,08/20/2012,,
78163,TX,5.88,22100.62,08/20/2012,,
78251,TX,1.08,5086.8,08/20/2012,,
78250,TX,1.08,5130.6,08/20/2012,,
78259,TX,6.66,17850.54,08/20/2012,,
78258,TX,5.22,23686.0,08/20/2012,,
78223,TX,5.06,20574.72,08/20/2012,,
78261,TX,6.48,25221.26,08/20/2012,,
78132,TX,6.58,31829.0,08/20/2012,,
78209,TX,7.05,27743.0,08/06/2012,,
78255,TX,9.89,37608.02,08/06/2012,,
78209,TX,6.58,29610.0,08/06/2012,,
78002,TX,13.16,55290.23,08/06/2012,,
78247,TX,2.12,3670.27,08/06/2012,,
78218,TX,5.92,20897.6,08/06/2012,,
78251,TX,4.17,22981.32,08/06/2012,,
78209,TX,8.6,42595.2,08/06/2012,,
78251,TX,5.3,25396.8,08/06/2012,,
78231,TX,14.04,50038.56,08/06/2012,,
78006,TX,10.0,40844.71,08/06/2012,,
78023,TX,5.4,21065.87,07/26/2012,,
78263,TX,15.93,57672.0,07/25/2012,,
78230,TX,4.23,24322.5,07/25/2012,,
78231,TX,5.17,27574.0,07/25/2012,,
78228,TX,9.99,34165.5,07/25/2012,,
78228,TX,4.86,19996.0,07/25/2012,,
78261,TX,6.11,30389.0,07/25/2012,,
78258,TX,14.56,63821.33,07/25/2012,,
78260,TX,5.17,26108.5,07/25/2012,,
78258,TX,5.22,29841.0,07/25/2012,,
78112,TX,3.96,13583.0,07/25/2012,,
78221,TX,4.0,17920.0,07/25/2012,,
78205,TX,47.8,248101.72,07/25/2012,,
78258,TX,5.06,20691.14,07/24/2012,,
78254,TX,5.0,23036.5,07/24/2012,,
78261,TX,5.22,23686.0,07/24/2012,,
78261,TX,3.48,16312.0,07/24/2012,,
78259,TX,3.3,11715.0,07/24/2012,,
78247,TX,4.64,23200.0,07/24/2012,,
78260,TX,10.15,43645.0,07/24/2012,,
78240,TX,6.5,31320.0,07/24/2012,,
78023,TX,3.06,14353.48,07/18/2012,,
78258,TX,8.16,32502.76,07/18/2012,,
78216,TX,4.99,32921.64,07/18/2012,,
78230,TX,11.75,45825.0,07/18/2012,,
78240,TX,25.0,98850.0,07/17/2012,,
78257,TX,4.1,20692.0,07/17/2012,,
78259,TX,6.48,20252.08,07/17/2012,,
78259,TX,5.22,23686.0,07/17/2012,,
78263,TX,8.1,26723.23,07/17/2012,,
78230,TX,7.99,39601.0,07/17/2012,,
78258,TX,7.83,31534.88,07/17/2012,,
78259,TX,1.4,22896.0,07/17/2012,,
78228,TX,5.2,23523.5,07/17/2012,,
78207,TX,49.92,254713.0,07/17/2012,,
78261,TX,20.88,81432.0,07/17/2012,,
78232,TX,28.91,124900.0,07/13/2012,,
78154,TX,28.91,124900.0,07/13/2012,,
78148,TX,7.99,28913.5,07/05/2012,,
78217,TX,3.84,19200.0,07/05/2012,,
78258,TX,5.22,23686.0,07/05/2012,,
78261,TX,4.5,20857.5,07/05/2012,,
78260,TX,3.19,8943.84,07/05/2012,,
78023,TX,4.8,28800.0,07/05/2012,,
78015,TX,14.25,54538.0,07/03/2012,,
78209,TX,10.8,59884.63,07/03/2012,,
78253,TX,5.76,21600.0,07/03/2012,,
78253,TX,8.7,36105.0,07/03/2012,,
78254,TX,10.32,39800.0,06/28/2012,,
78023,TX,7.92,39525.25,06/27/2012,,
78207,TX,27.26,108494.8,06/27/2012,,
78249,TX,9.86,46071.75,06/27/2012,,
78251,TX,5.4,19972.5,06/25/2012,,
78260,TX,6.11,24725.25,06/25/2012,,
78258,TX,6.96,24247.41,06/25/2012,,
78261,TX,5.0,15334.65,06/11/2012,,
78261,TX,5.4,21576.0,06/11/2012,,
78239,TX,5.6,23124.0,06/11/2012,,
78216,TX,28.91,124900.0,06/11/2012,,
78216,TX,28.91,124900.0,06/11/2012,,
78251,TX,28.91,124900.0,06/11/2012,,
78251,TX,28.91,124900.0,06/11/2012,,
78251,TX,7.79,32621.82,06/07/2012,,
78255,TX,4.35,20010.0,06/06/2012,,
78255,TX,6.67,32651.1,06/06/2012,,
78258,TX,4.35,20010.0,06/06/2012,,
78258,TX,8.33,35122.25,06/06/2012,,
78266,TX,8.99,30925.6,06/06/2012,,
78152,TX,20.7,77550.0,06/06/2012,,
78023,TX,8.6,43027.2,06/06/2012,,
78249,TX,28.91,124900.0,06/06/2012,,
78254,TX,28.91,124900.0,06/06/2012,,
78255,TX,11.7,51716.0,06/04/2012,,
78261,TX,9.6,52800.0,06/04/2012,,
78266,TX,7.98,33255.75,06/04/2012,,
78247,TX,3.42,15390.0,06/01/2012,,
78023,TX,5.04,22446.6,05/30/2012,,
78247,TX,5.06,19270.28,05/29/2012,,
78261,TX,5.22,23686.0,05/29/2012,,
78217,TX,6.11,30352.0,05/29/2012,,
78255,TX,6.0,27680.95,05/29/2012,,
76051,TX,8.25,27663.0,05/13/2013,,
76107,TX,1.8,7417.0,07/31/2006,,
76107,TX,1.04,7680.0,03/05/2008,,
75214,TX,2.31,15573.0,03/03/2010,,
76020,TX,2.7,24300.0,03/11/2009,,
75023,TX,3.03,24933.0,11/06/2009,,
75421,TX,2.46,19862.0,03/26/2009,,
78232,TX,33.6,,11/27/2011,,
78230,TX,36.0,,11/03/2012,,
78249,TX,36.0,,09/30/2011,,
78737,TX,6.0,36000.0,12/15/2008,,
75093,TX,6.0,,11/27/2012,,
78745,TX,8.0,25500.0,02/05/2013,,
76148,TX,6.72,,08/24/2012,,
76135,TX,8.8,,08/21/2012,,
76133,TX,4.56,,08/20/2012,,
76132,TX,10.56,,07/11/2012,,
76116,TX,10.56,,08/18/2012,,
76052,TX,7.2,,10/09/2012,,
76052,TX,5.52,,09/10/2012,,
76039,TX,8.8,,08/27/2012,,
76012,TX,6.24,,09/10/2012,,
75248,TX,9.9,,08/21/2012,,
75236,TX,6.0,,07/18/2012,,
75211,TX,5.72,,08/30/2012,,
75154,TX,10.56,,08/14/2012,,
75080,TX,9.36,,07/10/2012,,
75062,TX,6.24,,09/04/2012,,
75007,TX,10.14,,10/09/2012,,
78154,TX,74.06,,03/21/2011,,
75068,TX,128.8,,03/21/2011,,
78550,TX,72.4,,03/10/2011,,
75104,TX,152.8,,07/13/2011,,
76021,TX,251.5,,05/10/2010,,
76205,TX,11.13,31000.0,02/15/2011,,
78737,TX,6.0,36000.0,01/01/2009,,
79912,TX,2.4,9340.88,12/17/2011,,
75034,TX,912,,08/02/2012,,
77024,TX,813.0,,07/09/2012,,
78749,TX,3.1,,09/12/2008,,
78703,TX,150.0,,11/20/2011,,
78758,TX,200.0,1081081.0,06/02/2011,,
76544,TX,684.0,3000000.0,03/27/2012,,
78722,TX,200.0,,02/28/2011,,
77507,TX,53.46,,08/21/2012,,
78069,TX,12322.0,47266655.0,08/13/2012,,
76116,TX,3.85,25000.0,01/15/2010,,
78256,TX,23.35,157222.0,05/17/2012,,
78257,TX,6.53,29588.0,05/17/2012,,
78249,TX,4.35,15007.5,05/17/2012,,
78258,TX,4.35,20010.0,05/17/2012,,
78209,TX,6.67,26845.52,05/17/2012,,
78254,TX,4.6,19042.6,05/17/2012,,
78259,TX,25.92,57008.34,05/11/2012,,
78154,TX,16.3,84068.75,05/11/2012,,
78245,TX,5.28,27426.68,05/10/2012,,
78207,TX,5.06,20493.0,05/10/2012,,
78260,TX,7.59,28089.19,05/04/2012,,
78232,TX,9.87,39992.5,05/04/2012,,
78231,TX,12.65,59016.0,05/07/2012,,
78258,TX,6.09,27404.5,05/02/2012,,
78023,TX,4.35,21228.0,05/04/2012,,
78249,TX,4.35,15007.5,05/02/2012,,
78148,TX,35.72,190950.0,04/24/2012,,
