Zipcode,State,Size (kW DC),Cost,Date Installed,Filters=state=AZ
85650,AZ,9.1,,02/08/2012,,
85650,AZ,6.84,11124.0,04/04/2012,,
85296,AZ,4,19863.66136,10/25/2013,,
85637,AZ,7.0,67566.0,02/01/2012,,
85635,AZ,4.0,43300.0,05/16/2012,,
85635,AZ,19.68,78720.0,11/21/2012,,
85248,AZ,6.867,34085.22711,10/11/2012,,
85031,AZ,10.5,46314.44796,11/18/2014,,
85297,AZ,12,52444.00213,06/03/2014,,
85086,AZ,6.3,43362.32372,01/12/2010,,
85716,AZ,5.559,26314.0,12/11/2012,,
85747,AZ,6.45,33604.5,05/09/2012,,
85737,AZ,13.734,48486.5,12/17/2012,,
85614,AZ,3.36,15366.4,01/04/2012,,
85747,AZ,2.115,16920.0,04/20/2012,,
85749,AZ,3.12,14040.0,05/29/2012,,
85743,AZ,5.76,28656.0,12/28/2012,,
85737,AZ,7.92,39402.0,09/27/2012,,
85355,AZ,6.3,44444.0761,08/26/2009,,
85718,AZ,5.04,19664.8,06/25/2012,,
85742,AZ,6.72,33432.0,08/15/2012,,
85716,AZ,3.84,19104.0,08/21/2012,,
85737,AZ,4.578,22620.0,11/02/2012,,
85747,AZ,6.58,52640.0,03/26/2012,,
85715,AZ,5.232,25375.0,09/19/2012,,
85622,AZ,2.115,17400.0,02/07/2012,,
85756,AZ,2.8,12964.0,05/30/2012,,
85653,AZ,6.88,48022.4,03/15/2012,,
85715,AZ,13.734,68670.0,11/16/2012,,
85745,AZ,9.84,48954.0,07/19/2012,,
85704,AZ,10.8,48600.0,05/10/2012,,
85711,AZ,7.194,32900.0,09/26/2012,,
85750,AZ,3.6,17910.0,11/13/2012,,
85745,AZ,4.32,21492.0,11/01/2012,,
85614,AZ,9.2,48300.0,02/15/2012,,
85739,AZ,15.275,122200.0,03/08/2012,,
85737,AZ,7.2,27199.0,09/24/2012,,
85704,AZ,3.924,19981.0,11/02/2012,,
85747,AZ,1.44,8610.0,04/12/2012,,
85743,AZ,10.56,52536.0,10/16/2012,,
85743,AZ,12.925,67339.26,04/25/2012,,
85719,AZ,6.58,32834.2,07/10/2012,,
85719,AZ,11.88,141750.0,02/10/2012,,
85743,AZ,7.848,34179.0,09/13/2012,,
85715,AZ,9.156,20005.86,10/01/2012,,
85742,AZ,6.58,52640.0,06/14/2012,,
85714,AZ,8.085,39859.0,10/30/2012,,
85747,AZ,1.44,8610.0,12/27/2012,,
85747,AZ,1.44,8610.0,09/24/2012,,
85737,AZ,6.11,41853.5,08/17/2012,,
85747,AZ,2.4,8600.0,09/07/2012,,
85737,AZ,7.755,62040.0,04/11/2012,,
85743,AZ,4.23,33840.0,04/04/2012,,
85614,AZ,2.205,18267.0,10/15/2012,,
85718,AZ,6.213,29231.0,12/03/2012,,
85701,AZ,7.392,32444.0,05/29/2012,,
85719,AZ,7.68,37632.0,03/26/2012,,
85704,AZ,6.0,35000.0,01/20/2012,,
85750,AZ,13.734,59345.0,09/24/2012,,
85706,AZ,4.32,21492.0,07/05/2012,,
85614,AZ,1.38,5740.0,04/03/2012,,
85745,AZ,19.27,72000.0,01/23/2012,,
85747,AZ,3.36,12245.0,06/28/2012,,
85743,AZ,6.58,52640.0,03/20/2012,,
85716,AZ,10.08,46443.6,03/08/2012,,
85716,AZ,6.58,26000.0,02/14/2012,,
85747,AZ,8.64,42984.0,10/17/2012,,
85737,AZ,9.87,43000.0,09/20/2012,,
85614,AZ,5.12,25808.0,09/20/2012,,
85715,AZ,12.42,62100.0,06/04/2012,,
85747,AZ,4.08,28464.73,04/20/2012,,
85750,AZ,4.32,20970.0,04/26/2012,,
85715,AZ,11.28,56118.0,09/20/2012,,
85746,AZ,8.46,44076.6,04/25/2012,,
85710,AZ,3.27,15238.2,05/21/2012,,
85713,AZ,5.64,28200.0,12/17/2012,,
85743,AZ,3.84,19104.0,07/05/2012,,
85614,AZ,3.84,19104.0,11/01/2012,,
85653,AZ,5.64,45120.0,06/14/2012,,
85140,AZ,9.156,40693.4443,08/27/2013,,
85712,AZ,7.755,28173.0,12/06/2012,,
85718,AZ,22.95,114750.0,10/19/2012,,
85743,AZ,7.755,62040.0,03/20/2012,,
85653,AZ,6.11,31833.1,04/23/2012,,
85704,AZ,11.52,58752.0,04/11/2012,,
85747,AZ,2.4,8600.0,06/25/2012,,
85730,AZ,6.72,31675.0,06/12/2012,,
85641,AZ,7.92,39402.0,12/14/2012,,
85716,AZ,2.85,19522.5,05/16/2012,,
85747,AZ,2.4,8600.0,08/24/2012,,
85739,AZ,5.76,25088.0,08/10/2012,,
85718,AZ,6.24,31044.0,10/29/2012,,
85737,AZ,6.72,33432.0,08/08/2012,,
85614,AZ,5.544,26888.0,03/20/2012,,
85730,AZ,5.886,27773.0,12/14/2012,,
85711,AZ,1.88,8891.49,08/10/2012,,
85749,AZ,8.36,57266.0,08/15/2012,,
85750,AZ,9.36,46566.0,11/01/2012,,
85748,AZ,12.099,59585.0,12/18/2012,,
85653,AZ,2.115,17400.0,07/10/2012,,
85614,AZ,6.867,27468.0,10/29/2012,,
85743,AZ,10.464,52843.0,12/12/2012,,
85737,AZ,11.772,52120.0,09/14/2012,,
85629,AZ,6.86,25994.4,09/13/2012,,
85737,AZ,5.64,30324.0,03/12/2012,,
85749,AZ,26.64,116472.0,08/17/2012,,
85748,AZ,9.8,26000.0,10/19/2012,,
85747,AZ,3.12,15366.4,03/20/2012,,
85743,AZ,7.92,39402.0,09/24/2012,,
85742,AZ,6.24,31044.0,07/05/2012,,
85210,AZ,14,61419.1692,10/09/2014,,
85745,AZ,5.886,27773.0,11/13/2012,,
85747,AZ,3.57,17760.76,09/24/2012,,
85705,AZ,3.84,19975.0,06/12/2012,,
85745,AZ,14.0,47900.0,10/16/2012,,
