Zipcode,State,Size (kW DC),Cost,Date Installed,Filters=state=VT
05401,VT,9.31,20763.0,08/24/2012,,
05403,VT,5.64,25492.8,08/31/2012,,
05255,VT,4.41,20639.0,08/23/2012,,
05832,VT,4.41,20639.0,08/17/2012,,
05679,VT,5.88,23266.0,09/01/2012,,
05048,VT,4.7,23829.0,09/28/2012,,
05462,VT,10.2,33525.0,08/20/2012,,
05056,VT,2.0,13051.0,12/28/2012,,
05679,VT,4.2,29400.0,11/09/2012,,
05462,VT,3.84,17365.0,09/18/2012,,
05048,VT,4.32,30636.0,08/31/2012,,
05640,VT,3.0,14250.0,08/21/2012,,
05903,VT,6.0,29900.0,09/10/2012,,
05444,VT,4.18,19100.0,12/13/2012,,
05491,VT,6.0,40102.0,07/30/2012,,
05760,VT,1.47,6982.5,07/10/2012,,
05068,VT,8.575,33875.0,08/08/2012,,
05487,VT,4.2,29400.0,07/16/2012,,
05651,VT,4.41,22010.0,07/23/2012,,
05672,VT,8.25,32650.0,08/20/2012,,
05601,VT,8.4,56000.0,08/04/2012,,
05260,VT,8.085,39106.39,06/15/2012,,
05143,VT,3.06,24470.0,12/19/2012,,
05482,VT,3.06,13500.0,12/10/2012,,
05602,VT,3.924,22045.0,07/25/2012,,
05468,VT,7.848,19123.0,07/25/2012,,
05468,VT,5.886,35487.0,08/13/2012,,
05472,VT,8.05,33420.0,07/13/2012,,
05857,VT,7.36,30488.0,10/04/2012,,
05482,VT,3.15,17984.0,10/31/2012,,
05842,VT,4.2,28350.0,08/10/2012,,
05072,VT,4.9,24500.0,07/06/2012,,
05465,VT,6.867,34716.0,07/18/2012,,
05452,VT,3.27,19323.0,10/15/2012,,
05845,VT,8.28,37541.73,07/08/2012,,
05822,VT,8.28,32159.73,09/19/2012,,
05679,VT,4.0,21692.0,09/13/2012,,
05465,VT,5.88,19907.34,09/18/2012,,
05301,VT,3.57,18955.0,08/24/2012,,
05154,VT,2.88,15264.0,07/27/2012,,
05674,VT,5.88,31158.0,07/11/2012,,
05468,VT,6.867,42235.0,08/27/2012,,
05660,VT,6.54,32277.0,08/13/2012,,
05403,VT,9.156,21786.0,07/20/2012,,
05766,VT,11.28,78960.0,07/02/2012,,
05757,VT,6.0,41024.0,08/14/2012,,
05602,VT,6.867,36344.0,08/26/2012,,
05602,VT,5.886,30802.0,08/02/2012,,
05161,VT,15.3,69800.0,07/30/2012,,
05055,VT,2.115,12150.0,10/19/2012,,
05344,VT,4.05,20375.0,06/29/2012,,
05658,VT,4.59,46764.19,11/28/2012,,
05301,VT,6.12,17586.0,09/06/2012,,
05773,VT,2.45,10796.0,07/18/2012,,
05346,VT,5.88,29400.0,07/26/2012,,
05461,VT,16.56,70020.0,08/02/2012,,
05403,VT,6.867,34397.0,07/20/2012,,
05676,VT,5.76,26340.0,06/30/2012,,
05675,VT,4.8,27150.0,07/18/2012,,
05156,VT,5.88,35994.0,09/17/2012,,
05477,VT,5.28,29185.0,07/31/2012,,
05086,VT,4.41,14482.0,12/05/2012,,
05759,VT,6.72,29952.0,06/27/2012,,
05301,VT,2.85,11100.0,07/10/2012,,
05495,VT,10.71,53400.0,09/10/2012,,
05701,VT,3.22,14750.0,08/02/2012,,
05489,VT,5.76,38640.0,06/28/2012,,
05443,VT,4.2,29400.0,06/05/2012,,
05489,VT,5.886,30753.0,06/25/2012,,
05468,VT,6.867,17071.0,06/29/2012,,
05452,VT,9.156,51346.0,07/25/2012,,
05455,VT,10.2,37042.0,06/08/2012,,
05149,VT,10.2,54127.0,08/13/2012,,
05446,VT,4.8,19200.0,06/19/2012,,
05677,VT,5.886,32933.0,08/14/2012,,
05403,VT,4.905,29963.0,08/09/2012,,
05677,VT,3.924,21513.0,08/15/2012,,
05773,VT,2.55,10116.0,06/25/2012,,
05849,VT,9.18,57256.0,11/01/2012,,
05602,VT,7.848,19140.0,08/29/2012,,
05477,VT,3.924,22643.0,06/19/2012,,
05673,VT,3.924,11128.0,07/19/2012,,
05769,VT,1.96,9310.0,06/13/2012,,
05651,VT,8.46,43890.0,08/21/2012,,
05456,VT,7.14,41725.0,07/20/2012,,
05488,VT,8.225,31100.0,07/23/2012,,
05819,VT,4.32,20500.0,06/13/2012,,
05070,VT,3.92,22148.0,06/12/2012,,
05860,VT,2.295,11475.0,06/19/2012,,
05602,VT,6.54,33774.0,06/01/2012,,
05660,VT,6.867,33545.0,06/12/2012,,
05001,VT,2.52,18097.0,05/11/2012,,
05602,VT,7.35,33660.0,06/29/2012,,
05764,VT,2.88,12960.0,06/29/2012,,
05301,VT,5.76,21900.0,06/22/2012,,
05091,VT,7.92,39226.0,07/26/2012,,
05751,VT,11.52,46450.0,07/25/2012,,
05647,VT,4.6,34230.0,08/22/2012,,
05677,VT,2.82,17433.0,09/10/2012,,
05055,VT,6.48,23400.0,06/08/2012,,
05464,VT,2.88,19980.0,09/07/2012,,
05733,VT,4.5,13356.96,05/17/2012,,
05832,VT,5.76,28800.0,05/18/2012,,
05836,VT,1.84,13340.0,07/10/2012,,
05841,VT,8.4,56000.0,07/06/2012,,
05764,VT,4.6,21750.0,07/18/2012,,
05083,VT,8.82,39678.0,06/15/2012,,
05301,VT,6.24,24710.0,07/18/2012,,
05676,VT,15.25,58000.0,05/29/2012,,
05682,VT,3.924,22142.0,08/22/2012,,
05452,VT,3.924,20623.0,06/29/2012,,
05602,VT,2.94,18375.0,05/21/2012,,
05866,VT,4.2,28350.0,06/22/2012,,
05738,VT,8.64,31800.0,06/13/2012,,
05743,VT,4.23,17490.0,05/08/2012,,
05735,VT,3.06,17900.0,06/25/2012,,
05841,VT,2.88,17258.0,07/31/2012,,
05658,VT,11.96,60760.0,08/14/2012,,
05764,VT,5.2,16999.36,05/20/2012,,
05676,VT,3.924,21512.0,06/21/2012,,
05468,VT,4.578,12561.0,07/26/2012,,
05650,VT,3.924,21563.0,07/10/2012,,
05404,VT,3.924,10960.0,07/31/2012,,
05403,VT,3.27,9901.0,07/28/2012,,
05730,VT,3.92,19154.0,08/10/2012,,
05738,VT,3.92,21229.02,06/10/2012,,
05655,VT,4.08,20907.0,08/21/2012,,
05871,VT,2.88,17940.0,06/18/2012,,
05344,VT,4.32,18800.0,06/07/2012,,
05602,VT,4.578,26310.9,05/11/2012,,
05477,VT,3.27,19991.0,07/13/2012,,
05403,VT,3.27,19435.9,07/18/2012,,
05495,VT,5.886,33384.0,07/18/2012,,
05602,VT,3.924,21586.0,06/13/2012,,
05495,VT,4.578,25883.0,07/13/2012,,
05458,VT,10.12,25762.0,07/05/2012,,
05101,VT,5.76,38932.0,06/12/2012,,
05495,VT,3.924,11337.0,07/13/2012,,
05465,VT,4.578,12600.0,06/11/2012,,
05677,VT,3.924,22384.0,08/02/2012,,
05673,VT,4.578,25387.0,07/12/2012,,
05682,VT,4.578,24208.0,05/29/2012,,
05495,VT,5.52,25400.0,06/21/2012,,
05444,VT,3.57,14037.0,05/02/2012,,
05443,VT,2.45,12250.0,04/24/2012,,
05730,VT,2.5,12800.0,04/17/2012,,
05346,VT,3.0,14700.0,07/05/2012,,
05055,VT,4.7,23124.0,04/19/2012,,
05461,VT,5.76,20907.23,05/21/2012,,
05660,VT,1.84,7944.0,06/19/2012,,
05046,VT,4.2,28350.0,08/07/2012,,
05445,VT,9.6,53664.0,02/24/2012,,
05158,VT,4.41,24655.0,06/05/2012,,
05486,VT,28.35,157916.0,10/02/2012,,
05470,VT,1.4,5000.0,10/08/2012,,
05602,VT,4.32,22896.0,04/19/2012,,
05458,VT,7.14,44710.62,06/15/2012,,
05464,VT,9.36,39903.14,06/29/2012,,
05155,VT,3.5,20280.0,06/07/2012,,
05672,VT,3.15,14424.0,06/02/2012,,
05055,VT,3.525,19081.0,04/19/2012,,
05647,VT,4.2,28350.0,05/03/2012,,
05489,VT,5.76,25920.0,06/11/2012,,
05456,VT,6.72,27981.0,08/24/2012,,
05602,VT,4.0,21480.0,04/25/2012,,
05401,VT,2.88,6898.0,06/07/2012,,
05462,VT,11.28,78960.0,05/31/2012,,
05773,VT,5.64,29453.0,06/11/2012,,
05495,VT,7.0,34167.0,03/28/2012,,
05495,VT,5.0,23250.0,03/22/2012,,
05482,VT,10.0,54500.0,04/18/2012,,
05482,VT,6.0,35900.0,06/06/2012,,
05486,VT,3.36,16230.0,05/10/2012,,
05445,VT,4.2,27300.0,03/30/2012,,
05829,VT,5.76,37440.0,05/10/2012,,
05055,VT,4.08,22946.0,04/04/2012,,
05055,VT,4.8,30205.0,07/31/2012,,
05055,VT,2.115,10948.0,03/23/2012,,
05445,VT,7.0,39630.0,03/19/2012,,
05495,VT,3.9,18925.0,03/14/2012,,
05660,VT,5.76,34968.0,05/24/2012,,
05445,VT,1.95,11505.0,03/30/2012,,
05091,VT,4.7,26100.0,03/23/2012,,
05841,VT,2.88,15840.0,05/01/2012,,
05143,VT,4.48,30470.0,05/11/2012,,
05482,VT,4.8,25635.0,05/15/2012,,
05487,VT,12.6,94500.0,06/07/2012,,
05464,VT,3.15,16984.0,03/29/2012,,
05055,VT,3.76,20753.0,03/21/2012,,
05778,VT,5.0,30499.0,03/13/2012,,
05819,VT,4.4,19584.0,03/28/2012,,
05301,VT,3.0,12900.0,03/22/2012,,
05773,VT,4.0,23500.0,06/08/2012,,
05055,VT,7.92,33660.0,03/08/2012,,
05462,VT,5.04,21164.0,03/31/2012,,
05461,VT,5.25,24937.0,01/17/2012,,
05363,VT,8.28,42950.0,01/10/2012,,
05641,VT,4.576,27800.0,01/05/2012,,
05827,VT,2.64,12000.0,01/26/2012,,
05301,VT,8.296,35289.0,01/18/2012,,
05482,VT,3.36,19875.0,01/31/2012,,
05465,VT,4.2,27300.0,01/05/2012,,
05445,VT,4.2,27300.0,01/06/2012,,
05346,VT,2.35,12112.0,01/19/2012,,
05495,VT,4.32,21812.0,01/30/2012,,
05495,VT,4.68,21375.0,01/20/2012,,
05495,VT,10.0,45500.0,01/26/2012,,
05482,VT,4.92,23370.0,01/26/2012,,
05461,VT,4.68,23030.0,01/19/2012,,
05495,VT,4.0,19000.0,01/17/2012,,
05660,VT,8.0,36720.0,01/11/2012,,
05445,VT,8.4,54600.0,01/04/2012,,
05472,VT,4.2,33600.0,01/15/2012,,
05445,VT,5.0,31250.0,01/23/2012,,
05495,VT,4.2,27300.0,01/06/2012,,
