Zipcode,State,Size (kW DC),Cost,Date Installed,Filters=state=IN
46970,IN,1.88,9400.0,07/01/2011,,
46947,IN,1.88,9400.0,07/01/2011,,
46970,IN,1.88,9400.0,07/01/2011,,
46970,IN,1.88,9400.0,07/01/2011,,
46947,IN,1.88,9400.0,07/01/2011,,
46947,IN,1.88,9400.0,07/01/2011,,
46947,IN,1.88,9400.0,07/01/2011,,
46526,IN,10.34,62775.0,12/16/2011,,
46803,IN,10.0,112476.0,09/17/2012,,
46617,IN,4.7,29028.7,02/20/2012,,
46528,IN,6.44,40000.0,05/16/2012,,
46540,IN,10.34,75000.0,01/01/2012,,
46701,IN,11.25,83731.26,11/07/2011,,
46507,IN,5.46,25000.0,09/01/2009,,
46151,IN,6.44,32200.0,11/05/2010,,
46975,IN,4.2,22000.0,06/05/2009,,
46544,IN,5.28,27000.0,07/13/2010,,
46747,IN,5.04,25000.0,06/04/2010,,
46526,IN,5.8,27000.0,05/20/2010,,
46516,IN,3.45,17250.0,12/22/2010,,
46528,IN,10.0,16701.1,09/02/2011,,
46565,IN,10.0,54322.32,06/25/2012,,
46528,IN,10.34,57975.0,06/07/2012,,
46526,IN,19.5,124868.52,06/27/2011,,
46761,IN,8.4,49845.69,09/26/2011,,
46516,IN,19.74,120000.0,02/10/2012,,
46545,IN,8.2,41000.0,07/17/2008,,
47905,IN,10.12,55000.0,12/20/2010,,
46516,IN,12.88,64400.0,11/18/2010,,
46550,IN,6.05,44565.6,02/17/2009,,
46526,IN,8.0,11800.0,07/29/2011,,
46947,IN,6.3,31500.0,10/02/2009,,
46526,IN,2.3,11500.0,12/04/2010,,
46530,IN,10.0,50000.0,09/11/2010,,
46526,IN,3.15,15750.0,08/25/2010,,
46582,IN,3.15,15750.0,07/31/2010,,
46628,IN,4.4,22000.0,07/29/2010,,
46723,IN,7.56,37800.0,07/17/2010,,
46550,IN,5.88,29400.0,11/16/2009,,
46797,IN,7.8,14048.35,09/09/2009,,
46543,IN,6.3,31500.0,09/10/2009,,
46567,IN,5.46,27300.0,08/25/2009,,
46526,IN,7.56,12500.0,07/11/2012,,
46526,IN,7.56,37800.0,07/11/2012,,
47905,IN,3.36,16800.0,01/05/2009,,
46992,IN,2.46,12300.0,10/20/2008,,
46571,IN,2.5,12500.0,09/25/2006,,
46526,IN,1.36,6800.0,11/01/2005,,
46550,IN,0.9,13778.52,08/25/2011,,
47933,IN,8.28,51634.43,04/07/2011,,
46774,IN,0.9,5715.17,03/14/2011,,
46526,IN,2.35,14824.67,04/05/2012,,
46526,IN,7.05,41850.0,12/19/2011,,
46385,IN,5.64,34328.04,08/12/2011,,
46528,IN,5.64,52954.0,04/26/2012,,
46554,IN,7.75,35955.79,05/09/2012,,
46383,IN,29.0,65600.0,03/22/2012,,
46516,IN,5.52,27600.0,11/18/2011,,
47401,IN,5.0,12000.0,10/08/2012,,
47532,IN,6.1,,06/12/2012,,
47125,IN,4.88,,12/31/2011,,
47712,IN,2.0,7000.0,05/03/2012,,
47720,IN,2.44,20800.0,01/10/2012,,
47714,IN,2.44,20800.0,12/10/2011,,
47714,IN,2.44,20800.0,11/29/2011,,
47714,IN,2.44,20800.0,11/29/2011,,
47711,IN,2.44,20800.0,10/24/2011,,
47712,IN,2.12,20800.0,07/12/2011,,
47714,IN,2.2,20800.0,06/26/2011,,
47720,IN,2.82,21900.0,04/05/2011,,
47356,IN,2.61,,04/02/2012,,
46725,IN,17.0,,05/04/2012,,
47638,IN,8.46,,04/28/2012,,
47630,IN,15.696,,05/17/2012,,
47408,IN,5.5,33000.0,09/30/2011,,
46750,IN,9.6,,11/11/2011,,
46714,IN,4.8,,10/28/2011,,
46975,IN,11.28,,12/29/2011,,
47532,IN,1.47,,03/14/2012,,
47720,IN,4.32,,07/16/2010,,
46617,IN,4.465,,03/19/2012,,
46528,IN,6.88,,11/28/2011,,
47403,IN,6.72,,01/23/2012,,
47401,IN,2.45,,07/21/2011,,
47403,IN,5.635,,07/15/2011,,
47401,IN,5.635,34000,12/02/2011,,
47404,IN,2.35,,12/09/2011,,
47404,IN,2.94,,08/15/2011,,
46550,IN,12.9,,01/26/2011,,
46550,IN,6.4,,12/06/2010,,
47408,IN,4.9,,07/21/2011,,
47201,IN,1.715,,06/08/2011,,
47006,IN,1.075,,05/16/2011,,
47201,IN,1.075,,06/06/2011,,
46383,IN,5.355,,10/10/2011,,
47401,IN,3.525,,08/18/2011,,
47401,IN,3.525,,09/01/2011,,
46628,IN,4.4,,08/01/2010,,
47150,IN,1.05,,08/12/2011,,
47403,IN,2.675,,01/03/2010,,
46106,IN,4.95,,10/31/2009,,
46205,IN,3.16,,11/29/2011,,
47201,IN,2.52,17500.0,09/08/2010,,
47164,IN,1.05,,04/21/2011,,
47803,IN,2.45,,07/01/2011,,
46208,IN,4.2,,05/18/2011,,
47201,IN,1.6,,05/18/2008,,
47170,IN,1.41,,10/11/2011,,
46539,IN,18.92,,11/16/2010,,
47281,IN,1.11,,07/06/2011,,
47112,IN,1.05,,08/25/2010,,
46385,IN,5.64,,08/11/2011,,
46614,IN,9.9,,07/12/2011,,
47117,IN,2.22,,08/02/2011,,
47150,IN,1.05,,05/12/2011,,
46996,IN,5.17,,03/03/2011,,
47170,IN,1.05,,04/13/2010,,
47403,IN,4.0,,04/05/2010,,
47341,IN,1.48,,09/02/2011,,
