Zipcode,State,Size (kW DC),Cost,Date Installed,Filters=state=NV
89012,NV,2.857,11229.0,07/08/2011,,
89102,NV,8.307,46800.0,07/13/2011,,
89447,NV,43.504,220162.0,07/14/2011,,
89511,NV,8.673,37554.0,07/15/2011,,
89701,NV,54.377,195242.0,07/19/2011,,
89107,NV,11.578,57892.0,07/20/2011,,
89121,NV,39.815,277562.0,07/20/2011,,
89110,NV,43.504,327367.0,07/20/2011,,
89107,NV,103.257,708000.0,07/20/2011,,
89084,NV,10.285,59872.0,07/20/2011,,
89406,NV,12.455,76000.0,07/21/2011,,
89110,NV,9.972,51600.0,07/22/2011,,
89701,NV,60.108,306568.0,07/22/2011,,
89115,NV,51.218,258587.0,07/25/2011,,
89121,NV,5.887,25000.0,07/25/2011,,
89436,NV,5.061,37252.0,07/25/2011,,
89431,NV,5.061,37882.0,07/25/2011,,
89503,NV,21.164,105820.0,07/25/2011,,
89509,NV,7.092,52079.0,07/25/2011,,
89118,NV,15.785,98215.0,07/26/2011,,
89704,NV,1.175,10395.0,07/26/2011,,
89081,NV,51.218,258587.0,07/26/2011,,
89052,NV,5.239,32850.0,07/26/2011,,
89511,NV,9.672,47700.0,07/26/2011,,
89509,NV,53.065,267332.0,07/26/2011,,
89503,NV,2.618,20798.0,07/26/2011,,
89821,NV,28.852,154209.0,07/26/2011,,
89107,NV,17.459,87293.0,07/29/2011,,
89510,NV,9.695,48500.0,07/29/2011,,
89510,NV,10.051,48500.0,07/29/2011,,
89512,NV,2.3,23499.0,07/29/2011,,
89423,NV,102.159,500000.0,07/29/2011,,
89012,NV,13.497,87982.0,07/29/2011,,
89012,NV,13.497,87982.0,07/29/2011,,
89101,NV,48.726,352711.0,08/04/2011,,
89128,NV,102.622,500000.0,08/04/2011,,
89104,NV,19.179,115920.0,08/04/2011,,
89445,NV,1.716,14568.0,08/08/2011,,
89052,NV,5.639,25157.0,08/08/2011,,
89107,NV,64.846,418600.0,08/10/2011,,
89110,NV,40.321,252970.0,08/10/2011,,
89135,NV,8.82,63250.0,08/10/2011,,
89013,NV,9.924,66700.0,08/10/2011,,
89130,NV,10.819,55000.0,08/10/2011,,
89423,NV,4.728,27750.0,08/10/2011,,
89146,NV,36.666,174726.0,08/10/2011,,
89436,NV,99.66,500000.0,08/15/2011,,
