Zipcode,State,Size (kW DC),Cost,Date Installed,Filters=state=WI
53562,WI,4.55,33970,12/27/2006,,
53820,WI,2.08,18095.35,11/05/2007,,
53518,WI,2.16,18754.48,02/28/2008,,
53593,WI,5.8,40560,03/26/2008,,
54202,WI,2.87,26949.98,04/28/2009,,
53219,WI,3.6,22878.43,12/27/2006,,
53558,WI,2.52,21350,08/20/2008,,
54961,WI,4.2,36634.5,12/27/2006,,
54170,WI,1.98,0.0,12/11/2003,,
53105,WI,3.15,26235,07/26/2007,,
54406,WI,0.96,4178,12/05/2002,,
53589,WI,6.8,63175,12/07/2007,,
54165,WI,3.28,21434.92,01/18/2006,,
53597,WI,1.422,11688,06/12/2003,,
53703,WI,2.97,23816,12/19/2008,,
53562,WI,8.64,101010,01/27/2009,,
53066,WI,2.672,30618,10/29/2004,,
54307,WI,2.52,18493.35,04/26/2006,,
53154,WI,2.772,22710,12/26/2008,,
53217,WI,7.36,69500,06/30/2008,,
53516,WI,0.632,10919.48,02/23/2005,,
53562,WI,0.15,1547,09/27/2002,,
54247,WI,2.52,22749.87,04/27/2009,,
53202,WI,5.292,56400,05/23/2008,,
54303,WI,4.8,22025.83,10/26/2007,,
54923,WI,4.42,29800,10/27/2006,,
54481,WI,2.016,19827.04,02/26/2009,,
53704,WI,1.67,12945,02/21/2006,,
54406,WI,2.8,28838.72,04/27/2009,,
53233,WI,2.04,39168.94,06/26/2007,,
54963,WI,2.8,26898.12,12/19/2008,,
53004,WI,11.6,98104.71,10/31/2008,,
53211,WI,18.2,124750,03/27/2007,,
53202,WI,29.52,229133,12/31/2008,,
54451,WI,1.48,14843,08/31/2004,,
54929,WI,2.72,34556,10/28/2008,,
53039,WI,2.66,19712.35,11/29/2005,,
54921,WI,2.16,20497,11/11/2002,,
53704,WI,6.3,57079.25,03/26/2009,,
54862,WI,1.05,16686,02/27/2007,,
53711,WI,3.872,33621,12/31/2008,,
54909,WI,2.004,20081.11,12/27/2005,,
54915,WI,3.04,21148.7,01/18/2006,,
53951,WI,2.672,25844.75,04/24/2006,,
53703,WI,9.675,77787,10/28/2008,,
53517,WI,2.672,26826,03/20/2004,,
53717,WI,6.56,50550,11/25/2008,,
54956,WI,3.06,24102,06/26/2007,,
53545,WI,1.1,15478.21,12/05/2003,,
54138,WI,5.2,38031.5,09/27/2007,,
53086,WI,2.72,23463,09/27/2006,,
54455,WI,1.56,19953.4,09/27/2006,,
53209,WI,1.62,16707,05/23/2008,,
54302,WI,4.752,37091.88,01/30/2009,,
53597,WI,0.632,4500,10/27/2006,,
53037,WI,4.2,34328,08/29/2006,,
54858,WI,5.76,58650,08/20/2008,,
53546,WI,3.6,30699,01/28/2009,,
53901,WI,2.84,22935,10/15/2002,,
53211,WI,8.016,59730,11/29/2004,,
54171,WI,1.44,10808.91,01/30/2006,,
54307,WI,2.4,22212.26,02/28/2008,,
54929,WI,2.8,28018.24,12/21/2007,,
53115,WI,19.74,157300,02/08/2010,,
53545,WI,2,18850,03/26/2009,,
53582,WI,2.72,25152,05/25/2006,,
54104,WI,2,13589.5,05/01/2004,,
53004,WI,2,17979.31,10/17/2003,,
53593,WI,3.36,37253.56,11/26/2007,,
53156,WI,10.5,75000,06/26/2008,,
53711,WI,3.24,31470,11/24/2008,,
53572,WI,11.52,118080,03/27/2009,,
54177,WI,0.96,13731.47,02/15/2003,,
53202,WI,11.648,95455,04/26/2007,,
53208,WI,2.8,24700,01/24/2008,,
54562,WI,3.28,24248.55,02/26/2009,,
53503,WI,2.8,29746.59,11/29/2006,,
53186,WI,13.68,107184,02/26/2009,,
54915,WI,1.52,17888,12/21/2007,,
54406,WI,7.38,50647.81,04/28/2009,,
53075,WI,7.38,56975,12/19/2008,,
54406,WI,2.8,25623.03,05/23/2008,,
53151,WI,3.85,27225.55,10/24/2006,,
54426,WI,5.12,0.0,09/03/2003,,
54501,WI,1.75,10488.45,01/29/2007,,
54481,WI,2.88,29274.07,01/27/2009,,
53717,WI,6.98,60904.62,03/26/2009,,
53704,WI,2.47,17683.31,05/23/2007,,
53713,WI,1.792,18830,08/20/2008,,
53151,WI,4.92,38000,11/25/2008,,
53132,WI,1.62,15000,03/23/2007,,
54103,WI,0.36,4678.73,01/28/2005,,
54155,WI,1.62,16769.75,01/10/2008,,
54235,WI,5.46,43179.04,10/25/2006,,
53558,WI,5.74,46910,02/26/2009,,
53533,WI,2.88,32622.06,11/25/2008,,
54171,WI,1.44,24578.28,12/28/2002,,
54307,WI,2.4,24285.56,02/28/2008,,
53094,WI,7.128,39999,12/26/2008,,
53559,WI,1.6,10771.55,09/27/2007,,
54170,WI,3.4,27483,07/21/2008,,
53555,WI,4.509,31482,03/06/2006,,
54527,WI,1.4,14141.39,10/25/2003,,
54217,WI,2.88,28977.9,07/21/2008,,
53713,WI,1.155,8026.44,08/04/2005,,
54004,WI,0.285,0.0,09/26/2003,,
54940,WI,2.8,26632.73,01/29/2007,,
54471,WI,2.088,18270,06/29/2004,,
53132,WI,2.8,23629,07/26/2007,,
53506,WI,0.504,2985,10/29/2004,,
53507,WI,15.12,0.0,07/29/2008,,
53575,WI,2.64,24888.92,08/16/2004,,
53705,WI,3.24,26230,09/29/2008,,
53560,WI,5.824,39227.88,01/27/2009,,
54601,WI,3,23545,11/29/2006,,
54521,WI,1,9189.98,01/07/2003,,
54911,WI,1.2,0.0,09/17/2003,,
54162,WI,4.32,39486,12/19/2008,,
53115,WI,12.5,94000,07/31/2009,,
54665,WI,1.52,14967,10/26/2007,,
54511,WI,1.248,19398.4,05/22/2006,,
54115,WI,2.7,22034.28,06/30/2008,,
54913,WI,3.96,31180,01/28/2009,,
54854,WI,1.75,10767.04,07/27/2006,,
54628,WI,3.24,26313.16,02/26/2009,,
54891,WI,2.672,19731.41,08/01/2004,,
53147,WI,1.04,14766.78,10/24/2006,,
54621,WI,10.4,101459.35,02/26/2009,,
53040,WI,4.488,35890,07/23/2008,,
54216,WI,2,26690.54,01/18/2006,,
53704,WI,10,96305,02/26/2009,,
54307,WI,2.4,24761.8,02/28/2008,,
54956,WI,19.55,169707,03/26/2008,,
53188,WI,5.25,39000,06/26/2007,,
54406,WI,2.528,0.0,09/23/2003,,
53546,WI,3.6,30699,01/26/2009,,
54981,WI,2.88,24599.34,06/30/2008,,
54847,WI,3.6,43149.22,07/23/2008,,
53211,WI,2.8,26125,11/28/2007,,
53559,WI,7.776,96604,11/26/2008,,
54210,WI,1.845,19823.45,04/27/2009,,
54981,WI,5.6,56295.58,09/27/2007,,
54956,WI,2.16,22481.62,04/15/2003,,
54201,WI,1,10550,07/15/2003,,
54481,WI,3.3,28500.32,06/15/2005,,
54426,WI,3.4,29936.68,07/28/2006,,
53714,WI,1.53,0.0,06/28/2006,,
53951,WI,4.68,37050,12/19/2008,,
53704,WI,1.706,18635,09/25/2008,,
54981,WI,2.8,27894.06,11/25/2008,,
53716,WI,1.75,15050,06/26/2007,,
54521,WI,1,15000,04/16/2007,,
53217,WI,2.47,19770,10/16/2006,,
53943,WI,5.6,49500,06/28/2006,,
54667,WI,6.97,53385,01/26/2009,,
53711,WI,1.05,8800,08/20/2008,,
53218,WI,1.7,13075,08/24/2006,,
53704,WI,0.85,4163.53,10/28/2008,,
53704,WI,1.278,13595,02/28/2008,,
54557,WI,0.25,2112.4,10/27/2005,,
54126,WI,3.12,32460,04/28/2008,,
53704,WI,1.7,18562,05/23/2007,,
54601,WI,0.48,0.0,12/07/2003,,
53210,WI,4.1,37241.5,03/27/2009,,
54601,WI,29,236782,07/23/2008,,
54229,WI,2.72,18982.36,10/05/2006,,
53588,WI,3.198,35880,07/26/2007,,
53073,WI,6.3,49500,02/28/2008,,
53959,WI,4.2,26918.52,09/27/2006,,
53073,WI,2.1,16776.62,03/27/2007,,
53189,WI,3.42,24354.37,06/28/2006,,
53204,WI,12.96,100904,12/23/2008,,
54481,WI,7.56,63204.44,03/26/2009,,
53144,WI,10.5,88500,10/30/2007,,
54481,WI,2.4,17700.01,10/24/2006,,
54981,WI,5.04,39847.2,10/26/2007,,
53202,WI,1.8,28494.48,05/23/2008,,
53533,WI,2.72,21500,01/29/2007,,
54965,WI,3.06,25592,04/25/2006,,
53713,WI,9.84,87585,11/25/2008,,
53575,WI,2.73,19704.33,02/26/2007,,
53523,WI,0.96,8216.66,03/26/2008,,
54742,WI,0.7,4821.88,08/20/2008,,
54542,WI,1.25,21253,08/29/2005,,
53222,WI,10.71,102957,11/26/2007,,
54411,WI,1.925,15687,08/27/2007,,
53719,WI,2,17735,07/26/2007,,
54876,WI,0.72,5117.71,10/22/2003,,
53533,WI,3.24,31055,04/28/2009,,
54891,WI,2.88,28112,12/27/2007,,
54909,WI,2.16,17435,11/15/2002,,
53147,WI,10,97100,12/26/2008,,
53719,WI,2.7,24175,11/21/2008,,
53705,WI,2.6,19690,11/17/2006,,
53529,WI,4.51,36550,04/27/2009,,
54115,WI,1.5,14500,11/21/2008,,
53597,WI,3.006,27622,09/28/2005,,
54742,WI,4.32,35900,10/28/2008,,
53713,WI,2.1,21895,08/27/2007,,
54893,WI,2.88,42316,08/27/2007,,
53118,WI,6.3,49230,01/29/2008,,
54909,WI,0.375,3582.53,09/24/2004,,
54141,WI,26.13,264605,04/28/2009,,
54891,WI,2.16,19923.68,10/26/2007,,
54542,WI,0.668,11585,07/15/2005,,
53715,WI,1.68,17475,01/24/2008,,
53516,WI,1.5,20000,10/19/2006,,
53566,WI,0.51,7336,11/29/2004,,
53570,WI,2.22,0.0,01/08/2004,,
54406,WI,0.96,0.0,10/26/2005,,
53590,WI,7.56,64277,01/26/2009,,
54515,WI,1.575,18228,12/26/2008,,
53711,WI,3.5,30360,11/27/2007,,
53913,WI,3.006,26250,07/21/2008,,
54481,WI,5.056,68745.29,08/03/2004,,
54521,WI,0.66,4498.46,05/11/2003,,
53572,WI,2.45,20596,06/28/2006,,
53105,WI,15.99,121102.57,07/21/2008,,
54742,WI,1.11,13150,09/01/2004,,
54665,WI,3.5,24646,05/23/2007,,
54119,WI,1.336,22056.39,06/22/2005,,
54891,WI,2.8,26251.62,06/30/2008,,
53713,WI,6.12,43798,03/22/2006,,
54827,WI,1.476,19064.57,03/24/2006,,
53948,WI,0.36,1467.51,09/28/2005,,
53233,WI,9.975,77995,02/28/2008,,
53951,WI,5.76,64345,11/25/2008,,
54481,WI,4.16,32279.25,12/27/2006,,
54452,WI,2.672,23673.7,10/05/2005,,
53005,WI,8.4,74910,06/26/2008,,
54406,WI,2.528,21705.99,05/19/2004,,
53105,WI,11.96,88855.27,06/29/2006,,
53171,WI,10.01,74610,09/28/2006,,
53581,WI,8.64,87350,11/26/2008,,
54914,WI,2.46,26150.32,07/21/2008,,
54896,WI,6.24,50886,08/27/2007,,
54540,WI,2.16,29437.57,12/27/2007,,
54875,WI,1.44,0.0,09/05/2003,,
53718,WI,9.984,81320,03/26/2008,,
53562,WI,1.32,20000,10/19/2006,,
54875,WI,2.16,29646,09/03/2002,,
53704,WI,3.15,26860,11/26/2007,,
53717,WI,8.4,59215,06/26/2007,,
53086,WI,0.48,4349.43,03/07/2003,,
54858,WI,5.6,58000,01/10/2008,,
53012,WI,4.16,34720,04/28/2008,,
53014,WI,10.8,82873,11/05/2007,,
54156,WI,1.85,18785.49,12/30/2003,,
53703,WI,2.64,21456.44,07/26/2007,,
53105,WI,0.7,4875,06/26/2008,,
53095,WI,2.6,29963.06,10/27/2006,,
54235,WI,1.25,12797.15,02/21/2006,,
53154,WI,2.528,19689.86,10/14/2005,,
54981,WI,2.88,27082.53,09/24/2008,,
54022,WI,3.12,48712,08/15/2008,,
53204,WI,6.48,64759,12/26/2008,,
54830,WI,4.32,36000,07/23/2008,,
53223,WI,5.4,53781.61,05/23/2008,,
53215,WI,3.328,29300,09/27/2007,,
54914,WI,3.2,34629,11/26/2007,,
54548,WI,2.16,18188.99,06/26/2008,,
