Zipcode,State,Size (kW DC),Cost,Date Installed,Filters=state=DE
19734,DE,10.36,,07/22/2014,,
19944,DE,8.91,,07/10/2014,,
19971,DE,12.75,,07/14/2014,,
19958,DE,15.0,,08/21/2014,,
19958,DE,7.5,,07/30/2014,,
19958,DE,6.5,,07/16/2014,,
19958,DE,5.0,,08/04/2014,,
19958,DE,5.5,,07/21/2014,,
19958,DE,7.0,,07/21/2014,,
19943,DE,16.23,,06/17/2014,,
19958,DE,12.65,,06/11/2014,,
19975,DE,9.9,,05/29/2014,,
19958,DE,9.62,,04/22/2014,,
19966,DE,6.76,,05/13/2014,,
19930,DE,7.42,,05/28/2014,,
19963,DE,7.7,,04/30/2014,,
19958,DE,8.53,,03/31/2014,,
19731,DE,5.32,,07/08/2014,,
19971,DE,11.0,,06/25/2014,,
19958,DE,7.5,,06/27/2014,,
19970,DE,6.6,,06/05/2014,,
19709,DE,24.2,,10/07/2014,,
19943,DE,12.1,,10/02/2014,,
19803,DE,7.56,,06/25/2014,,
19709,DE,8.25,,08/08/2014,,
19709,DE,13.77,,05/29/2014,,
19709,DE,7.8,,04/17/2014,,
19701,DE,7.5,,01/08/2014,,
19808,DE,4.32,,09/24/2014,,
19709,DE,10.4,,07/30/2014,,
19958,DE,5.36,,09/29/2014,,
19971,DE,7.5,,08/28/2014,,
19711,DE,13.2,,06/25/2014,,
19971,DE,6.0,,07/07/2014,,
19930,DE,4.5,,06/09/2014,,
19709,DE,18.0,,02/07/2014,,
19720,DE,6.5,,02/10/2014,,
19734,DE,4.7,,05/29/2014,,
19963,DE,5.28,,08/08/2014,,
19975,DE,6.0,,08/27/2014,,
19707,DE,13.75,,08/15/2014,,
19801,DE,49.28,,08/27/2014,,
19958,DE,5.31,,10/07/2014,,
19958,DE,5.79,,10/07/2014,,
19711,DE,8.1,,08/20/2014,,
19702,DE,5.4,,09/17/2014,,
19707,DE,10.08,,09/04/2014,,
19713,DE,49.98,,06/25/2014,,
19971,DE,5.0,,07/07/2014,,
