Zipcode,State,Size (kW DC),Cost,Date Installed,Filters=state=PA
19350,PA,8.28,,06/01/2011,,
19317,PA,9.4,,04/06/2011,,
19087,PA,6.86,,06/23/2011,,
19087,PA,2.76,,06/23/2011,,
19063,PA,9.66,,07/27/2011,,
19026,PA,3.68,,06/09/2011,,
17370,PA,3.22,,08/22/2011,,
17349,PA,6.75,,06/14/2011,,
17578,PA,777.6,,05/06/2011,,
19605,PA,962.3,,05/12/2011,,
15205,PA,106.0,,02/07/2011,,
17013,PA,207.0,,10/13/2009,,
17837,PA,469.8,,05/25/2011,,
19446,PA,409.6,1400000.0,05/25/2011,,
19362,PA,5.06,29900.0,06/10/2011,,
18426,PA,10.34,70800.0,08/05/2010,,
17356,PA,10.56,55900.0,07/01/2011,,
17562,PA,41.4,242190.0,05/05/2011,,
17557,PA,10.34,65700.0,02/09/2010,,
17527,PA,9.6,52700.0,11/02/2011,,
17540,PA,6.44,23000.0,06/18/2011,,
17562,PA,4.32,28080.0,10/09/2009,,
17516,PA,6.9,40700.0,05/09/2011,,
18951,PA,14.8,94000.0,08/03/2011,,
17529,PA,6.44,36000.0,06/10/2011,,
17557,PA,11.96,38600.0,02/17/2011,,
17527,PA,4.7,28200.0,08/17/2010,,
17572,PA,10.34,65000.0,01/28/2011,,
17527,PA,4.23,26400.0,05/20/2010,,
19520,PA,6.72,43000.0,04/14/2011,,
17532,PA,6.345,38000.0,08/03/2010,,
17527,PA,10.34,48116.0,01/06/2010,,
17087,PA,10.12,57700.0,05/10/2011,,
17562,PA,9.4,56950.0,10/22/2010,,
17527,PA,42.48,201800.0,12/28/2011,,
17078,PA,92.16,393500.0,11/30/2011,,
17562,PA,7.755,47900.0,08/13/2010,,
19344,PA,40.48,237800.0,02/15/2011,,
17535,PA,59.8,284000.0,09/29/2011,,
17557,PA,120.96,579400.0,01/19/2011,,
17557,PA,99.84,357400.0,12/23/2011,,
17017,PA,70.84,347000.0,03/15/2011,,
19567,PA,17.28,89000.0,07/27/2011,,
17543,PA,70.3,332000.0,05/31/2011,,
17545,PA,100.8,438500.0,07/18/2011,,
17562,PA,82.72,360000.0,06/10/2010,,
17964,PA,69.92,347100.0,07/21/2011,,
19540,PA,52.0,285000.0,03/09/2011,,
19330,PA,99.84,459000.0,10/01/2010,,
17540,PA,24.0,99400.0,12/01/2011,,
17855,PA,34.3,189000.0,08/24/2011,,
19330,PA,32.2,154500.0,06/28/2011,,
17566,PA,245.0,1104000.0,04/05/2011,,
17067,PA,46.08,206900.0,10/25/2011,,
17038,PA,80.64,351600.0,12/19/2011,,
17042,PA,36.8,200500.0,04/27/2011,,
17049,PA,98.0,475200.0,04/14/2011,,
17545,PA,10.34,58000.0,11/13/2010,,
19343,PA,8.0,68500.0,07/02/2010,,
18947,PA,9.87,59220.0,03/11/2011,,
17331,PA,76.8,341800.0,09/26/2011,,
17519,PA,28.56,137000.0,08/09/2011,,
19363,PA,94.325,438500.0,04/11/2011,,
17505,PA,12.96,72500.0,02/07/2011,,
19330,PA,66.24,311400.0,06/02/2011,,
17042,PA,19.32,107000.0,08/25/2011,,
17055,PA,221.44,,12/30/2009,,
18427,PA,10.35,,02/10/2011,,
19034,PA,1003.52,4400000.0,07/11/2011,,
18974,PA,370.76,,05/23/2011,,
17050,PA,382.72,,05/23/2011,,
17364,PA,631.68,2700000.0,08/04/2011,,
17331,PA,328.9,,05/23/2011,,
19020,PA,307.97,,05/23/2011,,
15642,PA,316.94,,05/23/2011,,
19468,PA,301.99,,05/23/2011,,
19063,PA,301.99,,05/23/2011,,
17516,PA,10.08,,09/25/2011,,
17517,PA,10.29,,05/12/2011,,
19380,PA,3.29,,07/05/2011,,
19382,PA,28.2,,06/14/2011,,
17375,PA,3251.28,19000000.0,12/20/2010,,
18017,PA,276.36,1200000.0,01/25/2011,,
18042,PA,31.02,169943.0,08/25/2010,,
16823,PA,274.95,1200000.0,04/07/2011,,
16823,PA,510.85,2700000.0,05/04/2011,,
17257,PA,998.4,4195890.0,11/21/2011,,
17566,PA,499.68,2200000.0,01/03/2012,,
19460,PA,1500.0,7800000.0,02/01/2012,,
16823,PA,540.735,,09/14/2011,,
19312,PA,3.68,,01/14/2011,,
19390,PA,1129.28,,11/30/2011,,
17201,PA,5.4,42000.0,12/23/2009,,
19530,PA,9.87,25000.0,01/12/2012,,
19365,PA,982.1,,03/03/2011,,
17701,PA,15.75,93750.0,12/09/2011,,
17963,PA,503.0,,09/19/2011,,
17837,PA,110.88,,04/20/2011,,
15213,PA,125.0,,09/17/2011,,
18974,PA,12.3,63000.0,05/30/2011,,
19426,PA,406.56,,12/14/2010,,
17968,PA,1000.0,5000000.0,05/19/2011,,
19406,PA,5.51,36000.0,01/07/2011,,
17961,PA,450.24,2500000.0,07/28/2011,,
18940,PA,79.625,,05/23/2011,,
15765,PA,2.0,18500.0,08/05/2010,,
18087,PA,2000.0,9000000.0,06/30/2011,,
18902,PA,137.54,828000.0,07/01/2011,,
19348,PA,1197.56,6666980.0,05/25/2011,,
18969,PA,0.96,8000.0,05/01/2008,,
18810,PA,11.2,77500.0,12/16/2009,,
17236,PA,9.87,65142.0,04/14/2011,,
17268,PA,10.575,63450.0,05/20/2011,,
17267,PA,5.64,39480.0,06/17/2011,,
17268,PA,4.935,30100.5,06/16/2011,,
17202,PA,4.935,28856.75,06/13/2011,,
17215,PA,5.17,33605.0,04/07/2011,,
19067,PA,5.425,33577.5,06/15/2007,,
17545,PA,20.72,132000.0,07/01/2010,,
16823,PA,3.24,23000.0,06/30/2009,,
17038,PA,6.765,,11/04/2010,,
17033,PA,16.75,,04/29/2010,,
17847,PA,11.0,,12/28/2010,,
18020,PA,293.0,,04/20/2011,,
17821,PA,16.5,,12/28/2010,,
17038,PA,26.75,,07/05/2010,,
17038,PA,7.15,,05/01/2009,,
17026,PA,9.9,,10/01/2010,,
17026,PA,15.68,,06/01/2009,,
17033,PA,248.0,,04/01/2011,,
18940,PA,6.0,46000.0,02/23/2011,,
15066,PA,3.65,39000.0,07/07/2009,,
19380,PA,12.58,67303.0,12/21/2010,,
18405,PA,10.125,53122.0,10/13/1997,,
17201,PA,2.07,24168.0,11/04/2009,,
17238,PA,4.14,19903.0,12/07/2010,,
17236,PA,6.75,47250.0,09/27/2010,,
17222,PA,4.7,31725.0,09/27/2010,,
17222,PA,8.46,55890.0,09/27/2010,,
17222,PA,5.875,35900.0,10/05/2010,,
17222,PA,5.64,38070.0,10/05/2010,,
17202,PA,11.28,63055.0,10/05/2010,,
17222,PA,5.64,39480.0,11/09/2010,,
