Zipcode,State,Size (kW DC),Cost,Date Installed,Filters=state=MO
63138,MO,2.45,,01/23/2009,,
63039,MO,1.8,,08/21/2008,,
63043,MO,25.0,,11/17/2011,,
63026,MO,25.0,,11/15/2011,,
63304,MO,2.88,,10/19/2011,,
63050,MO,4.08,,10/03/2011,,
63141,MO,2.88,,10/27/2011,,
63026,MO,9.6,,10/14/2011,,
63131,MO,5.76,,10/24/2011,,
63109,MO,3.15,,09/22/2011,,
63376,MO,6.21,,09/21/2011,,
63069,MO,2.3,,09/26/2011,,
63131,MO,3.6,,09/08/2011,,
63116,MO,24.96,,08/08/2011,,
63110,MO,24.96,,09/01/2011,,
63110,MO,5.71,,03/24/2011,,
63122,MO,4.5,,04/29/2011,,
63141,MO,9.996,,08/17/2011,,
63109,MO,3.05,,02/25/2011,,
63052,MO,9.2,,03/06/2011,,
63020,MO,9.87,,05/07/2010,,
63131,MO,9.9,,08/28/2011,,
63303,MO,5.4,,05/18/2011,,
63131,MO,9.2,,03/15/2011,,
63126,MO,4.14,,08/02/2011,,
63137,MO,9.6,,01/21/2011,,
63105,MO,4.14,,11/02/2010,,
63050,MO,3.055,,07/20/2010,,
63105,MO,4.14,,09/09/2010,,
63104,MO,1.8,,05/13/2010,,
63011,MO,7.92,,01/18/2010,,
63026,MO,10.8,,01/03/2010,,
63117,MO,1.88,,11/15/2010,,
65202,MO,15.0,,12/18/2010,,
63132,MO,4.68,,11/19/2010,,
64093,MO,4.8,,12/30/2008,,
64114,MO,50.0,,05/12/2011,,
64429,MO,10.12,,09/01/2010,,
65072,MO,13.8,30000.0,04/14/2011,,
63143,MO,2.1,12350,06/15/2010,,
64019,MO,3.8,16500,04/16/2010,,
65109,MO,4.2,31500,12/12/2009,,
65203,MO,2.2,22000,10/15/2008,,
63117,MO,2.1,18000,06/21/2009,,
63110,MO,31.392,125000.0,07/26/2013,,
65203,MO,1.44,2876.0,10/01/2012,,
65202,MO,1.175,3141.0,09/01/2012,,
65203,MO,5.06,12312.0,02/01/2012,,
