Zipcode,State,Size (kW DC),Cost,Date Installed,Filters=state=NM
88005,NM,3.92,16523.0,08/18/2012,,
88011,NM,6.975,16914.85,06/07/2012,,
88007,NM,4.8,21860.0,07/03/2012,,
88012,NM,2.4,11570.0,08/01/2012,,
88011,NM,8.16,35945.0,07/24/2012,,
88007,NM,4.32,22030.0,04/11/2012,,
88001,NM,11.28,49990.0,07/24/2012,,
88021,NM,2.82,13500.0,08/16/2012,,
88007,NM,10.81,40087.0,06/08/2012,,
88007,NM,11.515,41698.0,07/28/2012,,
88001,NM,6.9,43636.0,05/17/2012,,
88021,NM,7.44,33068.0,06/21/2012,,
88011,NM,3.84,18048.0,06/25/2012,,
88005,NM,3.84,17220.0,06/29/2012,,
88011,NM,2.4,15285.0,05/10/2012,,
88011,NM,3.84,17828.0,06/13/2012,,
88012,NM,2.88,14018.0,04/13/2012,,
87121,NM,1.98,10000.0,07/24/2012,,
87701,NM,2.88,16016.02,09/06/2012,,
88005,NM,3.91,16877.0,05/04/2012,,
88062,NM,2.64,11895.91,07/17/2012,,
88011,NM,6.25,15625.02,02/22/2012,,
87110,NM,6.96,40256.44,08/22/2012,,
87571,NM,5.28,34702.14,06/12/2012,,
88011,NM,2.25,9110.95,09/10/2012,,
87105,NM,2.94,19336.0,06/25/2012,,
87144,NM,5.22,31466.0,08/15/2012,,
88007,NM,3.6,16381.0,07/31/2012,,
88012,NM,3.6,16100.0,07/11/2012,,
87122,NM,7.83,46124.0,08/01/2012,,
88007,NM,4.8,21624.0,07/24/2012,,
88011,NM,6.24,28640.0,07/11/2012,,
88021,NM,2.16,10719.0,06/04/2012,,
87104,NM,2.94,18644.0,09/14/2012,,
87120,NM,8.7,52818.22,08/30/2012,,
88007,NM,9.156,53814.8,09/06/2012,,
87008,NM,3.48,22142.0,08/24/2012,,
88005,NM,6.525,38345.0,07/31/2012,,
87508,NM,5.64,28482.0,04/23/2012,,
87506,NM,4.41,26688.82,08/31/2012,,
87505,NM,5.886,34848.8,09/18/2012,,
88011,NM,5.04,28258.94,05/31/2012,,
87199,NM,4.578,43652.6,09/14/2012,,
87505,NM,8.64,43200.0,08/31/2012,,
87043,NM,3.76,18710.0,03/28/2012,,
87031,NM,8.25,32000.0,08/02/2012,,
88007,NM,2.88,15452.0,07/11/2012,,
87109,NM,2.82,13695.0,09/05/2012,,
88007,NM,5.06,29070.0,06/08/2012,,
87048,NM,5.04,19800.0,09/17/2012,,
87501,NM,6.48,69861.91,06/08/2012,,
87544,NM,3.924,26300.0,05/17/2012,,
87507,NM,5.04,21852.18,05/15/2012,,
87124,NM,4.578,28592.4,09/07/2012,,
87106,NM,2.1,14000.98,07/27/2012,,
87505,NM,1.962,14590.0,06/29/2012,,
87109,NM,6.86,38642.0,09/12/2012,,
87109,NM,4.7,22548.85,05/02/2012,,
87505,NM,3.84,30686.17,09/14/2012,,
87008,NM,5.22,30986.0,09/12/2012,,
88005,NM,6.12,22772.0,09/06/2012,,
87108,NM,4.9,26350.0,08/01/2012,,
87002,NM,7.83,46124.0,09/13/2012,,
87144,NM,5.76,24002.16,09/18/2012,,
87106,NM,2.94,18056.0,08/16/2012,,
87124,NM,5.232,31055.6,09/17/2012,,
87048,NM,9.87,56287.75,08/01/2012,,
88012,NM,3.12,14994.0,07/10/2012,,
88011,NM,6.96,32640.0,05/24/2012,,
87121,NM,3.36,14112.0,09/19/2012,,
87529,NM,5.886,34850.0,08/24/2012,,
87701,NM,4.8,27950.0,07/31/2012,,
88011,NM,5.886,34465.89,09/04/2012,,
88012,NM,0.96,5282.0,05/02/2012,,
88005,NM,1.44,7200.0,07/31/2012,,
88007,NM,2.88,13100.0,08/20/2012,,
87507,NM,3.84,18384.0,09/12/2012,,
88011,NM,3.6,16300.0,07/03/2012,,
88005,NM,4.8,22262.0,08/16/2012,,
88006,NM,1.92,11000.0,01/19/2012,,
88005,NM,2.88,14479.0,08/16/2012,,
87031,NM,10.032,47582.6,03/16/2012,,
88011,NM,5.28,21000.0,07/19/2012,,
87124,NM,3.27,19003.0,09/19/2012,,
87109,NM,4.578,27262.4,09/17/2012,,
88001,NM,2.4,12664.0,08/06/2012,,
88007,NM,2.88,16990.0,07/17/2012,,
88001,NM,3.6,10169.08,08/05/2012,,
87144,NM,2.28,14579.25,08/16/2012,,
87124,NM,6.174,34988.8,07/18/2012,,
87042,NM,3.68,11758.2,01/27/2012,,
87123,NM,2.52,16916.46,08/21/2012,,
87505,NM,9.81,81098.0,08/23/2012,,
88005,NM,7.92,29600.0,02/08/2012,,
87508,NM,7.05,39664.0,06/22/2012,,
88005,NM,3.29,17563.0,09/23/2012,,
88310,NM,5.17,24972.25,06/01/2012,,
87505,NM,1.68,8345.54,09/27/2012,,
88001,NM,1.2,5565.0,03/01/2012,,
88011,NM,2.88,13079.0,07/24/2012,,
88011,NM,2.88,13079.0,08/27/2012,,
88012,NM,0.96,5410.0,06/26/2012,,
88001,NM,3.6,15852.0,09/11/2012,,
88001,NM,1.44,8250.0,09/14/2012,,
88011,NM,7.203,41818.0,09/05/2012,,
87114,NM,5.22,28376.0,09/11/2012,,
87505,NM,2.16,11900.0,04/17/2012,,
87505,NM,4.9,24000.0,09/13/2012,,
87112,NM,2.1,27359.0,06/15/2012,,
88012,NM,3.84,17240.0,08/27/2012,,
88011,NM,3.36,18190.0,03/19/2012,,
87112,NM,14.28,76871.25,10/04/2012,,
88007,NM,9.604,59978.0,08/29/2012,,
87111,NM,2.4,17395.68,04/03/2012,,
87508,NM,4.802,33288.0,09/21/2012,,
87108,NM,2.94,14257.2,06/15/2012,,
87124,NM,5.64,25499.0,09/12/2012,,
88012,NM,3.84,23526.0,07/09/2012,,
87043,NM,5.232,46588.78,10/18/2012,,
88011,NM,4.116,24810.0,08/21/2012,,
88005,NM,4.08,10646.32,05/24/2012,,
87043,NM,3.76,17924.0,06/28/2012,,
88011,NM,6.72,31135.0,07/09/2012,,
88007,NM,5.28,24971.0,06/26/2012,,
87508,NM,4.23,22584.27,08/07/2012,,
