Zipcode,State,Size (kW DC),Cost,Date Installed,Filters=state=IL
60010,IL,6.11,36660.0,08/09/2010,,
60103,IL,33.3,218000.0,08/09/2010,,
61778,IL,10.34,41925.0,08/09/2010,,
60160,IL,17.7,102000.0,08/09/2010,,
60187,IL,10.08,143000.0,08/09/2010,,
61006,IL,4.05,25375.0,08/10/2010,,
62711,IL,11.2,64000.0,08/10/2010,,
62421,IL,3.5,33504.0,08/10/2010,,
60202,IL,1.505,19980.0,08/11/2010,,
61301,IL,1.521,10398.0,08/11/2010,,
62002,IL,2.8,28550.0,08/11/2010,,
61368,IL,2.1,6875.0,08/11/2010,,
61109,IL,12.5,109715.0,08/11/2010,,
61822,IL,11.25,112300.0,08/11/2010,,
61081,IL,8.4,61110.0,08/11/2010,,
61523,IL,4.928,46671.0,08/16/2010,,
60420,IL,4.59,26150.0,08/17/2010,,
60062,IL,2.82,25660.0,08/17/2010,,
60101,IL,67.4,395499.0,08/17/2010,,
60060,IL,24.64,155961.6,08/17/2010,,
60202,IL,8.64,72812.0,08/17/2010,,
60654,IL,4.0,28250.0,08/17/2010,,
61021,IL,7.2,46010.8,08/17/2010,,
60419,IL,11.4,122500.0,08/19/2010,,
62650,IL,7.095,52523.0,08/19/2010,,
60565,IL,2.778,21382.0,08/20/2010,,
61526,IL,6.0,47998.0,08/20/2010,,
60073,IL,4.4,27284.0,08/23/2010,,
60090,IL,10.1,90382,08/31/2010,,
60098,IL,44.6,545718,08/31/2010,,
62294,IL,3.8,18000.0,05/04/2011,,
61832,IL,4.6,30000.0,10/01/2010,,
60014,IL,1.62,10000.0,09/05/2009,,
60124,IL,5.5,37900.0,02/25/2011,,
60056,IL,2.07,12880.0,02/26/2011,,
60133,IL,4.1,20500.0,01/24/2011,,
62711,IL,11.04,60800.0,07/28/2010,,
60090,IL,1.84,13085.0,11/10/2010,,
61244,IL,2.8,18900.0,12/04/2010,,
60515,IL,2.0,18000.0,10/10/2009,,
61525,IL,8.4,45800.0,02/16/2009,,
60712,IL,4.0,23000.0,07/16/2009,,
60030,IL,3.22,21840.0,04/06/2011,,
60067,IL,6.72,46200.0,04/15/2011,,
60108,IL,5.4,34000.0,06/16/2010,,
60160,IL,19.44,110000.0,06/16/2010,,
60439,IL,8.4,49000.0,04/15/2010,,
61822,IL,1.6,8000.0,07/30/2010,,
61822,IL,1.4,18000.0,09/01/1999,,
60546,IL,2.0,20000.0,11/01/2006,,
61925,IL,10.0,60000.0,05/01/2008,,
61802,IL,4.89,34700.0,09/11/2009,,
60010,IL,3.0,26260.0,10/01/2009,,
60653,IL,4.8,42000.0,08/01/2004,,
60525,IL,2.1,17500.0,06/01/2004,,
61085,IL,3.2,26700.0,08/29/2009,,
61853,IL,8.0,35000.0,07/16/2008,,
62703,IL,3.36,29114.0,05/01/2010,,
62002,IL,30.24,186705.0,08/01/2010,,
60443,IL,1.4,10000,03/11/2008,,
62703,IL,3,30000,04/09/2010,,
62650,IL,7,52523,04/29/2010,,
60091,IL,1.05,7500,06/09/2010,,
60067,IL,60.5,750000,12/10/2009,,
60098,IL,5,47000,01/19/2009,,
60643,IL,10000.0,,03/01/2010,,
61107,IL,2.0,11935.0,01/14/2010,,
61032,IL,1.4,9910.0,01/14/2010,,
61088,IL,1.4,8860.0,01/19/2010,,
61053,IL,2.8,21895.0,02/04/2010,,
61085,IL,3.2,25171.24,02/16/2010,,
61028,IL,2.592,28813.0,03/22/2010,,
61523,IL,5.04,30230.0,03/24/2010,,
61546,IL,3.584,35107.0,03/24/2010,,
61087,IL,4.0,14637.61,03/26/2010,,
61028,IL,2.688,30172.19,03/26/2010,,
61525,IL,8.4,45800.0,04/20/2010,,
60062,IL,3.26,27900.0,04/30/2010,,
60035,IL,5.0,44000.0,05/06/2010,,
62703,IL,13.76,116718.0,05/18/2010,,
62237,IL,2.16,21374.0,06/23/2010,,
62221,IL,6.54,39290.0,08/05/2010,,
60516,IL,5.0,36000.0,08/05/2010,,
62704,IL,3.0,27000.0,08/11/2010,,
61350,IL,2.1,14990.0,08/11/2010,,
62025,IL,3.24,32123.0,08/11/2010,,
62703,IL,3.78,31118.0,08/17/2010,,
62808,IL,7.995,37881.43,08/17/2010,,
60290,IL,6.72,33408.21992,06/12/2014,,
61878,IL,6.21,27195.79597,08/29/2014,,
60290,IL,6.05,20897.25095,05/27/2014,,
61801,IL,4.68,22358.59906,08/18/2014,,
62062,IL,10.08,42414.71271,12/23/2014,,
61601,IL,4.48,16676.24631,08/17/2014,,
61957,IL,5.4,36294.62655,06/20/2014,,
60030,IL,5.94,29359.39739,09/19/2014,,
60070,IL,2.43,13799.14839,12/27/2014,,
60120,IL,178.36,689201.5947,06/23/2014,,
60098,IL,3.5,18112.05263,06/12/2014,,
60901,IL,7.8,28690.93044,05/01/2014,,
62701,IL,4.95,19209.06452,10/10/2014,,
61014,IL,7.2,23825.88213,08/01/2014,,
62236,IL,12.24,55001.93561,04/18/2014,,
60290,IL,3.5,10603.66317,05/19/2014,,
60290,IL,4.4,13931.50063,05/27/2014,,
60523,IL,18.425,68072.48794,09/15/2014,,
60101,IL,8.9,31758.10436,12/24/2014,,
60290,IL,4,24240.8111,05/21/2014,,
60301,IL,9.28,46620.77175,05/06/2014,,
62479,IL,5.4,37574.93562,06/14/2014,,
62681,IL,3.24,19599.28726,12/31/2014,,
60290,IL,24,83949.14046,06/26/2014,,
62701,IL,5,31906.06192,10/30/2014,,
60301,IL,16.8,82786.94739,05/31/2014,,
62220,IL,5.5,17025.83519,04/01/2014,,
62557,IL,8,45054.30935,03/17/2014,,
60290,IL,1,7057.356524,12/11/2014,,
61008,IL,2.15,15953.03096,10/18/2014,,
62694,IL,500,1852889.584,05/01/2014,,
60089,IL,10.64,40327.75156,12/20/2014,,
60540,IL,2.45,9985.827091,04/30/2014,,
60439,IL,2,9137.970068,06/10/2014,,
60093,IL,7,32330.5354,06/20/2014,,
62062,IL,5.4,17737.15333,12/02/2014,,
61820,IL,51,373694.7649,10/03/2014,,
60290,IL,21.6,89343.52257,06/11/2014,,
60185,IL,5.28,22041.2454,03/03/2014,,
60445,IL,6.63,36032.83127,05/14/2014,,
62827,IL,7.84,24801.56721,12/30/2014,,
62684,IL,3.36,13293.03511,12/01/2014,,
60290,IL,2.7,14044.66269,06/09/2014,,
61318,IL,12.1,27960.31585,04/16/2014,,
60290,IL,5,25292.24824,07/31/2014,,
60518,IL,15.34,49352.34098,05/17/2014,,
60169,IL,8.745,33316.84022,06/10/2014,,
60290,IL,4.72,25785.09633,07/29/2014,,
60016,IL,214,758729.5759,09/04/2014,,
60540,IL,5,43250.40964,06/01/2014,,
60010,IL,4.4,23127.97215,08/01/2014,,
60016,IL,8.6,37955.37836,05/30/2014,,
61081,IL,7.5,18114.76352,11/14/2014,,
60290,IL,4.5,18253.09521,06/01/2014,,
60041,IL,3.36,18125.68451,02/18/2014,,
62901,IL,4.4,21469.26337,06/01/2014,,
60555,IL,7.2,13745.50216,08/12/2014,,
61874,IL,6,26462.44179,04/15/2014,,
60513,IL,5.61,20592.8824,12/11/2014,,
60115,IL,4.6,13514.83774,12/29/2014,,
60120,IL,8.4,21256.95298,02/26/2014,,
62034,IL,3,11862.19753,03/28/2014,,
60084,IL,2.3,14276.71577,03/20/2014,,
62629,IL,1.08,4186.819234,06/14/2014,,
62701,IL,10.26,39221.92157,11/04/2014,,
60440,IL,7.2,21077.63766,08/26/2014,,
62293,IL,5.76,34808.01433,11/19/2014,,
60290,IL,186,804051.9728,06/11/2014,,
62701,IL,10.175,40314.64504,12/22/2014,,
60015,IL,3.5,16518.77932,05/17/2014,,
60290,IL,3.54,20739.21902,06/06/2014,,
60025,IL,6.7,41350.75478,10/21/2014,,
60431,IL,3.6,25061.93071,11/05/2014,,
61252,IL,10.26,53113.84615,05/07/2014,,
60301,IL,2.68,22527.08273,06/04/2014,,
60402,IL,2.4,10519.68531,03/07/2014,,
60301,IL,7.54,15986.39697,05/20/2014,,
60290,IL,5.8,29817.39178,05/31/2014,,
60540,IL,5.58,32027.34299,11/14/2014,,
62467,IL,10.5,23265.60605,05/30/2014,,
60431,IL,6.48,42450.01832,10/17/2014,,
60558,IL,4.1,25520.3976,09/23/2014,,
62448,IL,6.72,30737.95678,11/17/2014,,
60290,IL,80,254737.801,06/26/2014,,
62448,IL,6,34061.28298,02/18/2014,,
62479,IL,11.55,51463.171,11/14/2014,,
61081,IL,10.2,32576.50002,11/14/2014,,
60290,IL,2.94,15381.3718,05/30/2014,,
60290,IL,35.1,122861.5197,12/30/2014,,
62701,IL,4.95,19752.84352,10/31/2014,,
60518,IL,4,17406.83972,06/01/2014,,
60103,IL,7.2,30947.83354,05/31/2014,,
60543,IL,7.5,31694.16393,05/21/2014,,
62419,IL,24,51748.03303,10/27/2014,,
62701,IL,5,18147.4882,12/10/2014,,
62555,IL,3.3,14445.97105,05/28/2014,,
62025,IL,8.58,29987.43875,04/07/2014,,
60544,IL,9,44936.22191,04/18/2014,,
60048,IL,3.84,16262.29639,02/20/2014,,
60290,IL,13.75,112322.7238,05/13/2014,,
62448,IL,12.96,59335.03262,03/18/2014,,
62260,IL,3.15,12361.24722,01/14/2014,,
60540,IL,12.375,47128.27642,05/27/2014,,
60035,IL,1.84,11638.48147,04/01/2014,,
60081,IL,3.71,12022.11485,07/15/2014,,
61856,IL,15,71140.62086,05/30/2014,,
62448,IL,5.94,28338.01945,02/03/2014,,
62220,IL,9.38,30709.00782,05/28/2014,,
62926,IL,15.08,40001.31874,05/31/2014,,
60068,IL,3.4,15523.67213,05/15/2014,,
60012,IL,2.8,11027.24951,11/13/2014,,
62701,IL,5,19865.15232,06/01/2014,,
61455,IL,9.72,43029.71092,12/23/2014,,
60035,IL,3,15046.85963,06/01/2014,,
60002,IL,9.24,31985.56296,12/30/2014,,
60558,IL,8.6,34381.94845,05/28/2014,,
60012,IL,2.4,13705.64714,03/25/2014,,
61801,IL,10,39730.30464,06/20/2014,,
60290,IL,5.985,36502.21739,06/17/2014,,
60290,IL,18.1,78512.04827,06/26/2014,,
61801,IL,5.865,21381.8567,06/12/2014,,
60290,IL,5.605,36570.18916,05/21/2014,,
60515,IL,7.2,40327.75156,12/30/2014,,
62467,IL,13.2,27940.49792,12/09/2014,,
60290,IL,120,397354.6958,06/26/2014,,
62401,IL,15.68,65930.83284,12/18/2014,,
60178,IL,8.1,30197.01805,06/01/2014,,
60030,IL,38.4,148750.2606,06/01/2014,,
60440,IL,9.8,39384.10204,04/24/2014,,
60110,IL,8,45749.73848,09/19/2014,,
62330,IL,6.24,23053.75974,04/24/2014,,
60290,IL,2.8,11027.24951,11/15/2014,,
62447,IL,23.1,92428.182,12/17/2014,,
60156,IL,5.8,22183.192,02/14/2014,,
60290,IL,27.3,99631.68496,06/26/2014,,
61025,IL,10,25713.50476,04/15/2014,,
61101,IL,1.935,13460.36987,10/29/2014,,
61101,IL,4.68,15441.08443,04/25/2014,,
60101,IL,19.9,69756.48238,06/30/2014,,
60084,IL,4.86,23500.4752,06/06/2014,,
61061,IL,12,26102.93829,01/07/2014,,
60135,IL,6.1,16130.68752,05/29/2014,,
60290,IL,27.9,129123.4901,06/16/2014,,
60402,IL,1.02,5278.048525,05/01/2014,,
61081,IL,3.5,9331.405735,01/01/2014,,
61010,IL,5.5,18977.68918,05/13/2014,,
