Zipcode,State,Size (kW DC),Cost,Date Installed,Filters=state=MD
20878,MD,5.61,33372.0,04/06/2012,,
21040,MD,5.61,25209.0,02/28/2012,,
20851,MD,5.625,22010.0,05/01/2012,,
20904,MD,5.64,21000.0,08/01/2012,,
21221,MD,5.64,9559.0,08/27/2012,,
20685,MD,5.64,45007.0,10/03/2012,,
20874,MD,5.64,42751.0,05/01/2012,,
21012,MD,5.64,42751.2,03/22/2012,,
21623,MD,5.64,42751.0,03/11/2012,,
21784,MD,5.64,42751.0,02/17/2012,,
21769,MD,5.64,42751.0,02/14/2012,,
21102,MD,5.64,42751.0,02/06/2012,,
20607,MD,5.64,34000.0,02/13/2012,,
20646,MD,5.64,44006.0,02/13/2012,,
20850,MD,5.64,27354.0,01/26/2012,,
21017,MD,5.7,23940.0,06/01/2012,,
20707,MD,5.7,28207.2,02/09/2012,,
21050,MD,5.7,26790.0,01/01/2012,,
20707,MD,5.74,28207.2,02/07/2012,,
20705,MD,5.75,23550.0,07/16/2012,,
20816,MD,5.76,28656.0,07/18/2012,,
20707,MD,5.76,27000.0,06/20/2012,,
20707,MD,5.76,28152.0,04/05/2012,,
21040,MD,5.76,30009.6,04/26/2012,,
20707,MD,5.76,28152.0,03/19/2012,,
20878,MD,5.775,44468.0,01/02/2012,,
21122,MD,5.775,44467.5,01/04/2012,,
20895,MD,5.805,30244.05,04/16/2012,,
21093,MD,5.805,44002.0,03/16/2012,,
20723,MD,5.805,44001.9,03/05/2012,,
21146,MD,5.805,44001.0,01/12/2012,,
21704,MD,5.85,17550.0,09/07/2012,,
20902,MD,5.875,45414.0,03/15/2012,,
21036,MD,5.875,59940.0,01/10/2012,,
21921,MD,5.88,15680.0,04/17/2012,,
20723,MD,5.88,29000.0,04/20/2012,,
20910,MD,5.88,31800.0,02/23/2012,,
20723,MD,5.89,40347.0,02/20/2012,,
21122,MD,5.92,36640.0,03/15/2012,,
21234,MD,5.92,28416.0,01/10/2012,,
