Zipcode,State,Size (kW DC),Cost,Date Installed,Filters=state=OR
97215,OR,4.7,24487.0,07/01/2012,,
97214,OR,3.0,14100.0,07/01/2012,,
97214,OR,3.06,15912.0,07/01/2012,,
97214,OR,3.185,14970.0,07/01/2012,,
97214,OR,3.24,15714.0,07/01/2012,,
97214,OR,3.25,14625.0,07/01/2012,,
97214,OR,3.29,17108.0,07/01/2012,,
97214,OR,4.0,18200.0,07/01/2012,,
97214,OR,5.0,22750.0,07/01/2012,,
97213,OR,2.295,12843.0,07/01/2012,,
97213,OR,2.55,15575.0,07/01/2012,,
97213,OR,2.805,16848.0,07/01/2012,,
97213,OR,3.06,18824.0,07/01/2012,,
97213,OR,3.29,15956.0,07/01/2012,,
97213,OR,3.96,22440.0,07/01/2012,,
97213,OR,4.08,23652.0,07/01/2012,,
97213,OR,4.335,23409.0,07/01/2012,,
97213,OR,6.24,32510.0,07/01/2012,,
97212,OR,2.76,12528.0,07/01/2012,,
97212,OR,2.88,14328.0,07/01/2012,,
97212,OR,3.06,17124.0,07/01/2012,,
97212,OR,3.29,15463.0,07/01/2012,,
97211,OR,2.295,12393.0,07/01/2012,,
97211,OR,2.805,15477.0,07/01/2012,,
97211,OR,3.06,17213.0,07/01/2012,,
97211,OR,3.06,17889.0,07/01/2012,,
97211,OR,3.06,13923.0,07/01/2012,,
97211,OR,3.25,14787.0,07/01/2012,,
97211,OR,3.315,20856.0,07/01/2012,,
97211,OR,3.825,14253.0,07/01/2012,,
97211,OR,4.08,23052.0,07/01/2012,,
97211,OR,5.76,28656.0,07/01/2012,,
97211,OR,9.95,54950.0,01/13/2012,,
97210,OR,26.085,149286.0,02/20/2012,,
97206,OR,3.29,15956.0,07/01/2012,,
97206,OR,3.29,14970.0,07/01/2012,,
97206,OR,3.68,19173.0,07/01/2012,,
97206,OR,4.23,15863.0,07/01/2012,,
97206,OR,5.39,28742.0,07/01/2012,,
97203,OR,24.0,108092.0,10/31/2012,,
97202,OR,2.04,13260.0,07/01/2012,,
97202,OR,3.06,21635.0,07/01/2012,,
97202,OR,3.24,14742.0,07/01/2012,,
97202,OR,3.25,15275.0,07/01/2012,,
97202,OR,3.25,14787.0,07/01/2012,,
97202,OR,4.18,20796.0,07/01/2012,,
97202,OR,5.28,24288.0,07/01/2012,,
97201,OR,5.28,27509.0,07/01/2012,,
97140,OR,3.22,17965.0,07/01/2012,,
97140,OR,3.25,14787.0,07/01/2012,,
97140,OR,3.29,16944.0,07/01/2012,,
97140,OR,4.165,17832.0,07/01/2012,,
97140,OR,6.24,32510.0,07/01/2012,,
97132,OR,2.585,13184.0,07/01/2012,,
97132,OR,3.185,15005.0,07/01/2012,,
97132,OR,4.6,29950.0,07/01/2012,,
97128,OR,3.06,17824.0,01/27/2012,,
97128,OR,3.29,25264.0,07/01/2012,,
97128,OR,5.46,24574.0,07/01/2012,,
97128,OR,6.48,32785.0,07/01/2012,,
97128,OR,31.68,134770.0,10/16/2012,,
97124,OR,2.16,11645.0,07/01/2012,,
97124,OR,3.06,16559.0,07/01/2012,,
97124,OR,3.25,15275.0,07/01/2012,,
97124,OR,3.29,17602.0,07/01/2012,,
97124,OR,4.68,24167.0,07/01/2012,,
97124,OR,5.04,25074.0,07/01/2012,,
97124,OR,5.52,28759.0,07/01/2012,,
97124,OR,5.52,27600.0,07/01/2012,,
97124,OR,62.51,256041.0,09/28/2012,,
97124,OR,102.96,471848.0,07/31/2012,,
97123,OR,3.25,14787.0,07/01/2012,,
97123,OR,3.25,14788.0,07/01/2012,,
97123,OR,3.29,26916.0,07/01/2012,,
97123,OR,3.36,17196.0,07/01/2012,,
97123,OR,3.36,17998.0,07/01/2012,,
97123,OR,5.59,27810.0,07/01/2012,,
97123,OR,5.76,30010.0,07/01/2012,,
97123,OR,91.0,327600.0,07/31/2012,,
97116,OR,8.82,39826.0,08/23/2012,,
97116,OR,41.0,281650.0,10/15/2012,,
97115,OR,3.64,19292.0,07/01/2012,,
97115,OR,4.935,21753.0,07/01/2012,,
97114,OR,7.92,39320.0,07/01/2012,,
97113,OR,5.04,23820.0,07/01/2012,,
97111,OR,7.92,39402.0,07/01/2012,,
97111,OR,36.66,255721.0,01/12/2012,,
97106,OR,41.36,140700.0,04/01/2012,,
97103,OR,3.76,28353.0,07/01/2012,,
97089,OR,2.88,15004.0,07/01/2012,,
97089,OR,3.06,17610.0,07/01/2012,,
97089,OR,3.22,16297.0,07/01/2012,,
97089,OR,3.22,16295.0,07/01/2012,,
97089,OR,3.29,14970.0,07/01/2012,,
97089,OR,3.29,17108.0,07/01/2012,,
97086,OR,2.55,19462.0,07/01/2012,,
97086,OR,3.22,21941.0,07/01/2012,,
97086,OR,3.22,16583.0,07/01/2012,,
97086,OR,3.24,14742.0,07/01/2012,,
97086,OR,3.25,15275.0,07/01/2012,,
97086,OR,3.25,15275.0,07/01/2012,,
97086,OR,3.29,16450.0,07/01/2012,,
97086,OR,3.29,15957.0,07/01/2012,,
97086,OR,3.29,17108.0,07/01/2012,,
97086,OR,3.29,17108.0,07/01/2012,,
97086,OR,4.08,21624.0,07/01/2012,,
97086,OR,5.64,28295.0,07/01/2012,,
97080,OR,1.88,10902.0,07/01/2012,,
97080,OR,2.35,10693.0,07/01/2012,,
