Zipcode,State,Size (kW DC),Cost,Date Installed,Filters=state=OR
97214,OR,1.485,,04/08/2004,,
97221,OR,2.7,,12/03/2004,,
97202,OR,2.08,,03/14/2008,,
97214,OR,3,,04/09/2007,,
97221,OR,2.45,,10/08/2008,,
97202,OR,3.04,,04/15/2006,,
97212,OR,0.5,,03/28/2005,,
97213,OR,3.06,,09/21/2006,,
97211,OR,2.85,,01/08/2007,,
97266,OR,3.006,,03/19/2004,,
97206,OR,3,,08/19/2008,,
97218,OR,3.006,,03/02/2005,,
97202,OR,2.625,,03/24/2006,,
97202,OR,3.006,,02/11/2004,,
97221,OR,0.99,,03/18/2005,,
97202,OR,0.5,,04/01/2005,,
97218,OR,2.846,,03/31/2008,,
97202,OR,2.4,,02/06/2008,,
97223,OR,0.5,,04/15/2006,,
97212,OR,3,,03/31/2008,,
97219,OR,1.4,,02/06/2008,,
97215,OR,85.43,,07/31/2008,,
97212,OR,1.64,,03/21/2007,,
97219,OR,4.1,,02/27/2007,,
97221,OR,4.08,,01/29/2007,,
97217,OR,1.98,,09/18/2007,,
97218,OR,2.08,,03/05/2008,,
97217,OR,2.59,,06/19/2008,,
97222,OR,2.8,,10/23/2007,,
97211,OR,1.11,,05/18/2006,,
97219,OR,2.805,,02/28/2006,,
97218,OR,3.006,,03/05/2008,,
97213,OR,2.4,,01/22/2008,,
97030,OR,15.558,,07/16/2008,,
97202,OR,0.987,,07/16/2008,,
97212,OR,0.85,,08/19/2008,,
97034,OR,4.185,,11/07/2006,,
97202,OR,2.85,,11/28/2006,,
97214,OR,0.96,,04/09/2007,,
97212,OR,2.04,,03/31/2008,,
97019,OR,2.24,,08/19/2008,,
97219,OR,2.4,,02/06/2008,,
97231,OR,3.15,,03/30/2007,,
97217,OR,2.16,,04/02/2008,,
97213,OR,2.04,,01/22/2008,,
97218,OR,2.08,,03/31/2008,,
97212,OR,3.15,,01/22/2008,,
97019,OR,3.145,,11/07/2003,,
97220,OR,0.5,,04/06/2005,,
97214,OR,3.69,,07/19/2007,,
97217,OR,2.17,,03/14/2007,,
97080,OR,6.3,,09/21/2007,,
97202,OR,2.96,,01/30/2004,,
97215,OR,3.006,,01/26/2005,,
97211,OR,2.1,,02/06/2008,,
97221,OR,1.53,,01/22/2008,,
97217,OR,2.992,,05/11/2006,,
97214,OR,1.44,,03/13/2002,,
97215,OR,2.85,,01/22/2007,,
97219,OR,0.5,,04/01/2005,,
97239,OR,2.496,,01/22/2008,,
97231,OR,3.006,,01/11/2005,,
97203,OR,1.05,,03/31/2008,,
97217,OR,2.4,,02/06/2008,,
97212,OR,2.97,,02/11/2001,,
97205,OR,267.54,,12/20/2009,,
97034,OR,0.5,,03/28/2005,,
97239,OR,0.99,,07/08/2005,,
97201,OR,0.5,,03/28/2005,,
97034,OR,2.97,,01/11/2005,,
97225,OR,3.15,,03/14/2008,,
97223,OR,1.98,,01/29/2007,,
97213,OR,2,,03/21/2007,,
97229,OR,2.8,,03/30/2007,,
97205,OR,2.805,,04/06/2005,,
97212,OR,3.24,,01/22/2007,,
97212,OR,3.006,,03/24/2006,,
97203,OR,3.006,,04/06/2005,,
97223,OR,2.1,,12/07/2007,,
97202,OR,2.4,,06/02/2008,,
97214,OR,1.54,,01/26/2005,,
97206,OR,1.62,,07/16/2008,,
97206,OR,4.32,,01/22/2008,,
97213,OR,1.98,,12/19/2007,,
97221,OR,5.085,,11/23/2005,,
97211,OR,1.98,,04/13/2007,,
97202,OR,1.62,,04/13/2007,,
97211,OR,3.06,,01/22/2008,,
97239,OR,0.99,,03/08/2004,,
97219,OR,2.04,,05/11/2007,,
97221,OR,0.99,,01/12/2006,,
97211,OR,1.98,,03/31/2008,,
97267,OR,2.86,,01/30/2004,,
97212,OR,2,,06/19/2008,,
97201,OR,3,,02/06/2008,,
97239,OR,3,,01/11/2005,,
97229,OR,2.04,,01/08/2007,,
97216,OR,2.52,,02/06/2008,,
97060,OR,0.48,,04/15/2003,,
97212,OR,1.155,,04/15/2004,,
97457,OR,5.76,24807.96021,10/07/2014,,
97524,OR,8.8,36826.39625,08/18/2014,,
97701,OR,6.48,31559.05592,03/14/2014,,
97756,OR,5,24831.4404,06/17/2014,,
97338,OR,5.25,24769.3618,06/10/2014,,
97220,OR,5,17018.11701,09/05/2014,,
97321,OR,6.05,22802.17305,07/22/2014,,
97385,OR,5.88,19548.30596,11/04/2014,,
97701,OR,5.94,23057.30528,08/04/2014,,
97322,OR,5.39,26778.74166,07/07/2014,,
97603,OR,10,47432.67868,04/29/2014,,
97760,OR,6,28366.27819,08/05/2014,,
97885,OR,10,49062.36566,04/11/2014,,
97601,OR,10,38386.98075,10/28/2014,,
97702,OR,3.25,15623.60847,01/08/2014,,
97504,OR,6.63,31292.37557,07/24/2014,,
97338,OR,10,31849.85621,08/08/2014,,
97527,OR,9.8,,08/07/2014,,
97322,OR,10,48072.64146,01/16/2014,,
97031,OR,9,42461.76309,06/20/2014,,
97211,OR,5.5,24492.4737,05/08/2014,,
97333,OR,3.12,14998.66414,01/18/2014,,
97885,OR,10,45858.70414,06/02/2014,,
97325,OR,9.75,48440.20986,07/31/2014,,
97338,OR,6.37,30622.27261,01/21/2014,,
97321,OR,10,54650.49318,07/08/2014,,
97885,OR,1.6,7595.440991,06/02/2014,,
97760,OR,9,42461.76309,06/17/2014,,
97525,OR,9.9,38087.45655,06/25/2014,,
97321,OR,6.24,26536.09809,01/06/2014,,
97754,OR,9.72,34416.3764,06/06/2014,,
97754,OR,9.72,35306.86339,09/29/2014,,
97838,OR,198,435253.4337,04/24/2014,,
97601,OR,9,31800.09081,08/11/2014,,
97702,OR,5,24036.32073,01/21/2014,,
97624,OR,98.56,548385.4393,10/07/2014,,
97754,OR,9.72,34416.3764,06/12/2014,,
97321,OR,9.99,33526.5871,07/10/2014,,
97218,OR,5.04,18032.59202,06/02/2014,,
97212,OR,7.35,36054.4811,01/22/2014,,
97321,OR,10,24926.61088,10/22/2014,,
97756,OR,5.25,25145.15229,02/04/2014,,
97524,OR,9.8,40327.75156,12/17/2014,,
97603,OR,10,40986.47485,05/06/2014,,
97212,OR,5.04,20134.42316,04/15/2014,,
97756,OR,6,28459.60721,04/02/2014,,
97603,OR,10,40301.84111,05/06/2014,,
97321,OR,10,54650.49318,07/08/2014,,
97624,OR,10,40831.84846,12/10/2014,,
97351,OR,7.56,25731.24422,09/17/2014,,
97756,OR,6.5,32404.59414,10/21/2014,,
97601,OR,10,40831.84846,12/17/2014,,
97352,OR,8.25,38786.58066,03/12/2014,,
97333,OR,9.99,33176.82394,07/31/2014,,
97220,OR,5.5,25948.85522,06/18/2014,,
97527,OR,5.5,26087.97327,04/08/2014,,
97526,OR,3.36,15937.38004,04/18/2014,,
97760,OR,3,14229.8036,04/02/2014,,
97601,OR,10,40279.66105,09/08/2014,,
97322,OR,5.75,27641.76884,01/16/2014,,
97760,OR,6.9,25494.93649,06/24/2014,,
97632,OR,10,39285.10152,09/05/2014,,
97040,OR,10,40731.07923,10/14/2014,,
97633,OR,10,40301.84111,05/06/2014,,
97537,OR,9.36,44995.99241,01/06/2014,,
97756,OR,7.5,35384.80257,06/17/2014,,
97625,OR,10,38255.34523,07/23/2014,,
97543,OR,9.9,47034.20172,07/21/2014,,
97701,OR,5.3,53923.46629,04/25/2014,,
97330,OR,5.28,26439.9528,01/17/2014,,
97321,OR,10,54629.16889,06/18/2014,,
97392,OR,9,54629.16889,06/18/2014,,
97213,OR,5.88,26108.42827,05/08/2014,,
97462,OR,2.25,10672.3527,04/17/2014,,
97420,OR,3.87,26212.79611,04/17/2014,,
97526,OR,3.57,17641.26023,05/28/2014,,
97603,OR,52,171317.8481,04/14/2014,,
97754,OR,4.5,21344.70541,04/08/2014,,
97370,OR,10,31784.24372,06/25/2014,,
97603,OR,8.28,31704.56877,09/09/2014,,
97370,OR,10,39470.16878,01/06/2014,,
97355,OR,3.5,16825.42451,01/16/2014,,
97351,OR,6.36,22931.89647,08/08/2014,,
97526,OR,9.9,23841.32447,11/24/2014,,
97211,OR,4.32,28294.03868,01/06/2014,,
97603,OR,10,38964.14097,01/28/2014,,
97753,OR,192.64,298592.402,08/08/2014,,
97601,OR,10,38386.98075,10/21/2014,,
97211,OR,10,35549.54444,04/07/2014,,
97520,OR,6.25,31079.98538,09/10/2014,,
97352,OR,10,29859.2402,08/15/2014,,
97526,OR,5,23599.0766,07/22/2014,,
97760,OR,9.5,44838.24554,07/24/2014,,
97857,OR,10,46769.162,09/10/2014,,
97330,OR,10,33738.61837,02/06/2014,,
97501,OR,10,47432.67868,04/29/2014,,
97702,OR,6.86,34764.01656,06/23/2014,,
97218,OR,5.8,17115.87435,01/06/2014,,
97603,OR,10,36321.41236,05/01/2014,,
97633,OR,10,38737.04703,06/23/2014,,
97538,OR,9.6,45535.37153,04/04/2014,,
97031,OR,6,28843.58488,01/22/2014,,
97632,OR,10,36434.00195,01/28/2014,,
97325,OR,10,28553.43154,03/12/2014,,
97701,OR,3.67,19229.05658,01/02/2014,,
97446,OR,10,26355.8276,09/03/2014,,
97503,OR,5.06,24324.75658,01/06/2014,,
97734,OR,3,7359.81466,12/24/2014,,
97404,OR,4.32,15255.08586,10/07/2014,,
97044,OR,2.97,13144.59726,03/13/2014,,
97520,OR,5.4,21033.69932,02/10/2014,,
97520,OR,5.3,20791.67045,01/29/2014,,
97846,OR,10,31906.06192,10/20/2014,,
97401,OR,3.24,12332.49646,04/22/2014,,
97520,OR,3.36,12924.30112,09/03/2014,,
97404,OR,3.27,14960.3241,07/11/2014,,
97520,OR,3.3,14613.3457,03/05/2014,,
97405,OR,5.232,24780.23461,11/05/2014,,
97520,OR,3.64,13924.4087,11/05/2014,,
97355,OR,3,2995.748127,04/09/2014,,
97734,OR,0.735,10544.07449,02/11/2014,,
97404,OR,5.88,28866.01648,03/28/2014,,
97520,OR,3.27,16051.45332,12/30/2014,,
97520,OR,3.85,16339.80887,04/09/2014,,
97404,OR,3.78,12579.60771,06/03/2014,,
97370,OR,7.5,24272.26547,12/19/2014,,
97211,OR,5,22775.8143,05/12/2014,,
97404,OR,4.08,18773.63156,01/16/2014,,
97229,OR,3.24,25517.97014,01/07/2014,,
97601,OR,8.25,32304.88769,10/22/2014,,
97754,OR,3,26930.39438,03/04/2014,,
97401,OR,6.875,20348.68803,09/05/2014,,
97330,OR,3.3,13978.54247,11/19/2014,,
97330,OR,4.95,17047.12527,11/07/2014,,
97401,OR,3.27,14532.19384,03/31/2014,,
97424,OR,4.32,19344.1829,09/23/2014,,
97701,OR,4.2,31758.10436,12/19/2014,,
97403,OR,3.3,13101.06796,06/17/2014,,
97403,OR,3.78,14306.77202,03/05/2014,,
97402,OR,3.78,14721.1063,04/03/2014,,
97456,OR,4.125,14971.67777,12/09/2014,,
97405,OR,4.16,16040.0154,03/13/2014,,
97330,OR,12.1,33750.40085,11/17/2014,,
97446,OR,4.24,13725.68464,03/31/2014,,
97405,OR,3.24,12650.69512,01/16/2014,,
97701,OR,5.83,21586.24005,08/29/2014,,
97405,OR,4.505,17628.57935,02/25/2014,,
97759,OR,7.15,32937.69109,12/26/2014,,
97754,OR,1.62,11443.75785,04/15/2014,,
97403,OR,3.27,16577.96593,11/25/2014,,
97304,OR,4.335,21852.60038,12/29/2014,,
97330,OR,3.025,13655.61855,04/14/2014,,
97404,OR,3.24,12417.68543,11/05/2014,,
97402,OR,3.36,16601.09423,02/04/2014,,
97756,OR,11.772,51538.93192,01/07/2014,,
97304,OR,6.63,31750.03881,12/08/2014,,
97754,OR,1.84,7509.010491,02/10/2014,,
97444,OR,4.08,27145.61777,12/30/2014,,
97759,OR,3.3,10247.28167,12/22/2014,,
97520,OR,7.848,34090.6151,04/29/2014,,
97330,OR,3.3,12642.75011,12/22/2014,,
97456,OR,6,13583.21311,05/09/2014,,
97405,OR,3.24,12536.89763,06/26/2014,,
97370,OR,4.95,19273.56917,09/09/2014,,
97403,OR,3.27,14912.90626,03/31/2014,,
97330,OR,4.77,17874.63049,04/11/2014,,
97520,OR,4.05,12802.30735,10/13/2014,,
97405,OR,3.24,12122.47303,07/31/2014,,
97520,OR,3.3,13009.34416,03/04/2014,,
97524,OR,2.24,13017.16681,11/21/2014,,
97520,OR,2.65,11730.87526,02/04/2014,,
97520,OR,2.24,9586.80672,08/19/2014,,
97456,OR,6,18958.07601,12/17/2014,,
97405,OR,3.24,14419.0748,02/10/2014,,
97405,OR,3.24,12230.22219,11/17/2014,,
97520,OR,3.51,15290.29844,04/22/2014,,
97391,OR,3.24,12946.21536,01/06/2014,,
97370,OR,3.3,12261.89842,10/24/2014,,
97355,OR,3.5,23869.72257,10/20/2014,,
97850,OR,3.12,15579.65907,02/11/2014,,
97031,OR,5.25,24841.13326,07/02/2014,,
97405,OR,3.24,11780.55766,09/10/2014,,
97330,OR,4.9,12981.57522,04/22/2014,,
97401,OR,2.1,17414.37579,05/19/2014,,
97424,OR,2.943,19678.50795,02/04/2014,,
97520,OR,3.24,12183.35427,09/03/2014,,
97754,OR,4,19637.16655,02/25/2014,,
97404,OR,7.35,35202.70904,02/25/2014,,
97426,OR,4.32,13028.72987,09/18/2014,,
97404,OR,2.88,14280.10465,01/16/2014,,
97520,OR,3.36,12831.70853,11/17/2014,,
97408,OR,3.24,11934.71439,09/11/2014,,
97477,OR,2.94,11988.4206,09/18/2014,,
97401,OR,2.97,17467.68698,03/25/2014,,
97720,OR,2.76,18973.07147,04/03/2014,,
97361,OR,3.5,23947.11064,08/06/2014,,
97405,OR,3.18,13354.99096,03/31/2014,,
97426,OR,3.24,12370.57845,10/03/2014,,
97402,OR,2.7,12453.84565,02/10/2014,,
97520,OR,2.12,10357.38159,03/10/2014,,
97330,OR,3.3,13365.64875,10/20/2014,,
97520,OR,3.924,18396.51207,12/30/2014,,
97408,OR,4.32,13414.21196,07/10/2014,,
97914,OR,5.04,15243.89009,12/09/2014,,
97520,OR,3.24,16894.02227,04/22/2014,,
97734,OR,3,18084.33286,04/09/2014,,
97333,OR,6.05,19495.4433,12/17/2014,,
97405,OR,6,13820.38469,04/28/2014,,
97424,OR,3,15415.67275,09/12/2014,,
97455,OR,3.24,15004.04449,07/30/2014,,
97477,OR,2.94,11988.4206,09/18/2014,,
97753,OR,6.6,23266.08807,12/09/2014,,
97520,OR,5.232,24040.49301,09/05/2014,,
97487,OR,6.6,22180.26336,12/19/2014,,
97304,OR,4.845,24153.88594,10/24/2014,,
97405,OR,3.28,12565.16623,04/09/2014,,
97405,OR,4.77,15264.56432,03/04/2014,,
97141,OR,2.97,18565.87827,11/07/2014,,
97833,OR,2.52,20835.33284,12/19/2014,,
97330,OR,4.95,16887.99604,07/29/2014,,
97754,OR,3.36,15901.81286,05/15/2014,,
97405,OR,9.72,29000.83904,04/03/2014,,
97520,OR,3.18,13274.84098,03/25/2014,,
97330,OR,9.625,30522.05877,12/26/2014,,
97405,OR,3,17391.34286,12/01/2014,,
97330,OR,6.05,22914.65162,09/16/2014,,
97520,OR,3.18,12178.09337,11/17/2014,,
97754,OR,1.68,9356.038363,12/19/2014,,
97402,OR,3.24,12420.94748,12/15/2014,,
97520,OR,3.445,14713.26445,01/21/2014,,
97477,OR,2.94,11988.4206,09/18/2014,,
97405,OR,8.75,46832.11651,10/16/2014,,
97520,OR,2.616,13591.92614,08/07/2014,,
97405,OR,3.27,16632.35236,02/25/2014,,
97405,OR,2.88,14563.48022,01/03/2014,,
97734,OR,2.94,23123.27018,03/25/2014,,
97333,OR,5.225,20590.75793,05/09/2014,,
97405,OR,3.3,14316.3518,12/30/2014,,
97520,OR,2.915,6303.051508,02/11/2014,,
97741,OR,1.5,5559.73871,11/07/2014,,
97455,OR,4.48,13758.99996,11/12/2014,,
97031,OR,16.695,43171.68185,11/19/2014,,
97401,OR,2.97,12476.39814,12/01/2014,,
97520,OR,4.905,24905.72021,07/22/2014,,
97489,OR,3.885,22532.65917,10/20/2014,,
97520,OR,3.36,11974.49677,09/03/2014,,
97439,OR,4.125,24230.45388,09/05/2014,,
97405,OR,2.88,14308.15884,02/10/2014,,
97401,OR,3.27,15033.66268,04/22/2014,,
97404,OR,2.36,8277.602832,01/03/2014,,
97116,OR,4.59,14408.85094,07/24/2014,,
97520,OR,3.27,16668.40042,07/15/2014,,
97520,OR,5.3,20031.48457,03/13/2014,,
97402,OR,3.78,14447.46366,10/15/2014,,
97408,OR,3.24,13035.90416,05/21/2014,,
97487,OR,5.39,26460.51511,03/13/2014,,
97401,OR,3.71,14005.66076,02/04/2014,,
97477,OR,2.94,11988.4206,09/18/2014,,
97365,OR,3.3,12809.61405,08/25/2014,,
97405,OR,3.92,18763.3691,04/14/2014,,
97330,OR,4.4,16776.12114,06/26/2014,,
97520,OR,8.745,31065.04694,01/24/2014,,
97439,OR,17.64,63055.81768,11/21/2014,,
97448,OR,5.88,23803.54794,01/03/2014,,
97734,OR,3,6668.563645,08/21/2014,,
97734,OR,1.62,13294.87848,03/04/2014,,
97702,OR,2.65,11378.84997,04/03/2014,,
97304,OR,5,23944.60249,12/31/2014,,
97149,OR,3.18,17948.21898,02/25/2014,,
97734,OR,0.51,1970.312232,05/21/2014,,
97520,OR,5.565,24807.79024,04/08/2014,,
97219,OR,2.805,17274.7772,01/16/2014,,
97520,OR,4.86,18929.76298,08/20/2014,,
97463,OR,11.76,40989.70333,03/31/2014,,
97463,OR,3.12,15477.0395,08/01/2014,,
97218,OR,3,15028.12187,03/25/2014,,
97520,OR,6.36,26507.60322,03/31/2014,,
97520,OR,7.15,27417.08686,04/22/2014,,
97759,OR,7.32,31934.67504,04/04/2014,,
97056,OR,3,12773.90359,03/31/2014,,
97756,OR,3.24,15005.95636,12/26/2014,,
97734,OR,3.36,28439.63555,04/17/2014,,
97850,OR,2.8,12698.78732,07/30/2014,,
97330,OR,3.71,12897.45015,06/26/2014,,
97520,OR,2.8,11824.37943,07/09/2014,,
97850,OR,2.6,13116.2407,01/09/2014,,
97361,OR,2.16,8116.68599,01/31/2014,,
97304,OR,4.5,21230.88154,06/20/2014,,
97054,OR,4.32,20121.53164,12/15/2014,,
97463,OR,1.1,5764.467048,09/16/2014,,
97756,OR,3.24,13966.50856,12/26/2014,,
97734,OR,2.4,20610.20202,02/04/2014,,
97218,OR,3,14978.74064,04/14/2014,,
97478,OR,2.94,12120.08945,02/14/2014,,
97520,OR,6.36,35406.90885,05/29/2014,,
97702,OR,2.94,13549.35467,03/04/2014,,
97734,OR,1.84,10907.41085,03/13/2014,,
97330,OR,5.6,19123.41979,12/01/2014,,
97405,OR,4.82,22802.62494,01/22/2014,,
97734,OR,3.42,24039.40394,11/21/2014,,
97520,OR,3.975,17901.23962,01/03/2014,,
97810,OR,1.92,6594.339875,03/13/2014,,
97404,OR,4.05,13533.44259,11/05/2014,,
